,index,threads,nrhs,time1,time2
0,0,1.0,1.0,547403.0,31205.0
1,1,1.0,2.0,543071.0,39775.0
2,2,1.0,4.0,533812.0,52313.0
3,3,1.0,8.0,543262.0,84590.0
4,4,1.0,16.0,541157.0,146273.0
5,5,1.0,32.0,542023.0,279589.0
6,6,1.0,64.0,544229.0,564181.0
7,7,1.0,128.0,540785.0,1110030.0
8,8,2.0,1.0,580832.0,32069.0
9,9,2.0,2.0,588286.0,41025.0
10,10,2.0,4.0,581159.0,53947.0
11,11,2.0,8.0,585484.0,88226.0
12,12,2.0,16.0,577075.0,151904.0
13,13,2.0,32.0,578290.0,287774.0
14,14,2.0,64.0,582455.0,570225.0
15,15,2.0,128.0,576989.0,1120150.0
16,16,4.0,1.0,703512.0,33690.0
17,17,4.0,2.0,705524.0,42939.0
18,18,4.0,4.0,701051.0,56335.0
19,19,4.0,8.0,699696.0,91576.0
20,20,4.0,16.0,696881.0,157093.0
21,21,4.0,32.0,696931.0,295895.0
22,22,4.0,64.0,697664.0,570371.0
23,23,4.0,128.0,693057.0,1136780.0
24,24,8.0,1.0,846275.0,39937.0
25,25,8.0,2.0,843773.0,49981.0
26,26,8.0,4.0,832566.0,67481.0
27,27,8.0,8.0,842993.0,106028.0
28,28,8.0,16.0,845439.0,182912.0
29,29,8.0,32.0,838897.0,341793.0
30,30,8.0,64.0,841067.0,676666.0
31,31,8.0,128.0,848434.0,1962280.0
32,32,16.0,1.0,1089650.0,43128.0
33,33,16.0,2.0,1078740.0,81909.0
34,34,16.0,4.0,1079840.0,75404.0
35,35,16.0,8.0,1102070.0,119982.0
36,36,16.0,16.0,1082880.0,211174.0
37,37,16.0,32.0,1101360.0,429611.0
38,38,16.0,64.0,1097020.0,864908.0
39,39,16.0,128.0,1145910.0,1927590.0
40,40,32.0,1.0,1787160.0,65041.0
41,41,32.0,2.0,1762880.0,84845.0
42,42,32.0,4.0,1755490.0,119717.0
43,43,32.0,8.0,1772580.0,201431.0
44,44,32.0,16.0,1746560.0,359447.0
45,45,32.0,32.0,1788060.0,711419.0
46,46,32.0,64.0,1743930.0,1440220.0
47,47,32.0,128.0,1785880.0,2828390.0
48,48,48.0,1.0,1856150.0,106677.0
49,49,48.0,2.0,1876690.0,122358.0
50,50,48.0,4.0,1865970.0,155380.0
51,51,48.0,8.0,1992950.0,290282.0
52,52,48.0,16.0,1839270.0,484362.0
53,53,48.0,32.0,1824950.0,924415.0
54,54,48.0,64.0,1895690.0,1864220.0
55,55,48.0,128.0,1886850.0,3920960.0
56,56,56.0,1.0,1899740.0,101363.0
57,57,56.0,2.0,1899980.0,123059.0
58,58,56.0,4.0,1908540.0,172263.0
59,59,56.0,8.0,1927000.0,278789.0
60,60,56.0,16.0,1990700.0,553871.0
61,61,56.0,32.0,2001810.0,968527.0
62,62,56.0,64.0,1968880.0,2004200.0
63,63,56.0,128.0,1983240.0,4254770.0
