,index,threads,nrhs,time1,time2
0,0,1.0,1.0,894.45,210.12
1,1,1.0,2.0,889.87,213.73
2,2,1.0,4.0,895.44,216.3
3,3,1.0,8.0,894.33,261.88
4,4,1.0,16.0,972.66,425.04
5,5,1.0,32.0,931.63,923.3
6,6,1.0,64.0,895.12,2039.38
7,7,1.0,128.0,910.1,3757.8
8,8,2.0,1.0,1026.36,233.28
9,9,2.0,2.0,908.42,219.26
10,10,2.0,4.0,915.14,230.98
11,11,2.0,8.0,913.94,265.88
12,12,2.0,16.0,981.63,428.37
13,13,2.0,32.0,963.35,954.3
14,14,2.0,64.0,937.0,2151.0
15,15,2.0,128.0,964.2,4282.9
16,16,4.0,1.0,948.39,220.26
17,17,4.0,2.0,964.4,229.82
18,18,4.0,4.0,950.63,230.66
19,19,4.0,8.0,1000.88,299.58
20,20,4.0,16.0,1027.36,444.68
21,21,4.0,32.0,981.5,1024.9
22,22,4.0,64.0,995.9,2383.4
23,23,4.0,128.0,1028.7,5620.3
24,24,8.0,1.0,1033.94,232.6
25,25,8.0,2.0,1042.37,240.28
26,26,8.0,4.0,1061.18,247.04
27,27,8.0,8.0,1079.2,330.64
28,28,8.0,16.0,1148.8,534.3
29,29,8.0,32.0,1078.2,1165.8
30,30,8.0,64.0,1145.9,3076.7
31,31,8.0,128.0,1100.6,6740.8
32,32,16.0,1.0,1666.05,406.58
33,33,16.0,2.0,1654.48,430.79
34,34,16.0,4.0,1659.59,441.61
35,35,16.0,8.0,1632.4,599.0
36,36,16.0,16.0,1682.6,1055.7
37,37,16.0,32.0,1694.6,2429.1
38,38,16.0,64.0,1729.4,5304.4
39,39,16.0,128.0,1694.3,12148.6
40,40,32.0,1.0,2426.94,497.33
41,41,32.0,2.0,2517.13,523.52
42,42,32.0,4.0,2420.4,558.5
43,43,32.0,8.0,2795.7,959.0
44,44,32.0,16.0,2928.8,2084.1
45,45,32.0,32.0,2706.7,4487.9
46,46,32.0,64.0,2390.1,8308.2
47,47,32.0,128.0,2360.1,18069.6
48,48,48.0,1.0,3388.93,571.39
49,49,48.0,2.0,3632.6,736.9
50,50,48.0,4.0,3357.7,761.6
51,51,48.0,8.0,3540.0,1134.7
52,52,48.0,16.0,4110.9,3043.4
53,53,48.0,32.0,3537.9,5118.2
54,54,48.0,64.0,3379.4,12480.0
55,55,48.0,128.0,3612.4,29667.1
56,56,56.0,1.0,3875.7,699.95
57,57,56.0,2.0,3992.4,793.8
58,58,56.0,4.0,3855.8,916.3
59,59,56.0,8.0,3879.9,1295.1
60,60,56.0,16.0,4497.9,3339.8
61,61,56.0,32.0,4462.5,6940.3
62,62,56.0,64.0,3873.2,16174.9
63,63,56.0,128.0,3741.6,35141.1
