,index,threads,nrhs,time1,time2
0,0,1.0,1.0,82784.6,13908.0
1,1,1.0,2.0,83194.2,15460.3
2,2,1.0,4.0,83204.4,19133.3
3,3,1.0,8.0,84551.6,26617.7
4,4,1.0,16.0,84852.2,45129.4
5,5,1.0,32.0,85073.1,79343.0
6,6,1.0,64.0,84516.8,151383.0
7,7,1.0,128.0,85650.6,303327.0
8,8,2.0,1.0,84516.9,15307.9
9,9,2.0,2.0,85014.7,16237.6
10,10,2.0,4.0,85776.2,19758.0
11,11,2.0,8.0,85423.3,28768.4
12,12,2.0,16.0,84988.1,46258.8
13,13,2.0,32.0,85708.5,81517.6
14,14,2.0,64.0,86729.0,157381.0
15,15,2.0,128.0,86885.0,308618.0
16,16,4.0,1.0,85526.8,15399.7
17,17,4.0,2.0,86948.0,17059.0
18,18,4.0,4.0,86608.1,20446.4
19,19,4.0,8.0,87025.8,29841.5
20,20,4.0,16.0,86813.8,47170.1
21,21,4.0,32.0,87627.8,83759.0
22,22,4.0,64.0,88049.6,162272.0
23,23,4.0,128.0,88006.2,320911.0
24,24,8.0,1.0,93564.1,17936.7
25,25,8.0,2.0,93654.9,19921.4
26,26,8.0,4.0,91487.3,23410.9
27,27,8.0,8.0,93739.3,37186.7
28,28,8.0,16.0,93189.2,56750.4
29,29,8.0,32.0,92119.0,103977.0
30,30,8.0,64.0,95356.6,209983.0
31,31,8.0,128.0,101321.0,472870.0
32,32,16.0,1.0,108903.0,20171.2
33,33,16.0,2.0,111902.0,23831.5
34,34,16.0,4.0,122333.0,30898.5
35,35,16.0,8.0,125833.0,44282.8
36,36,16.0,16.0,122649.0,73419.8
37,37,16.0,32.0,122815.0,132039.0
38,38,16.0,64.0,108768.0,252622.0
39,39,16.0,128.0,115007.0,554063.0
40,40,32.0,1.0,152857.0,27632.8
41,41,32.0,2.0,153506.0,32197.6
42,42,32.0,4.0,154408.0,41653.6
43,43,32.0,8.0,156586.0,64227.8
44,44,32.0,16.0,159473.0,105854.0
45,45,32.0,32.0,159648.0,195507.0
46,46,32.0,64.0,167864.0,380062.0
47,47,32.0,128.0,154156.0,858169.0
48,48,48.0,1.0,162934.0,38232.3
49,49,48.0,2.0,167768.0,42819.0
50,50,48.0,4.0,166497.0,58069.8
51,51,48.0,8.0,171896.0,81254.4
52,52,48.0,16.0,173647.0,144045.0
53,53,48.0,32.0,180873.0,269582.0
54,54,48.0,64.0,178630.0,548002.0
55,55,48.0,128.0,184401.0,1131920.0
56,56,56.0,1.0,178153.0,35996.1
57,57,56.0,2.0,173040.0,46346.0
58,58,56.0,4.0,182127.0,62939.2
59,59,56.0,8.0,185142.0,93825.6
60,60,56.0,16.0,188048.0,172058.0
61,61,56.0,32.0,186593.0,321377.0
62,62,56.0,64.0,191384.0,602542.0
63,63,56.0,128.0,216256.0,1137350.0
