,index,threads,nrhs,time1,time2
0,0,1.0,1.0,11326.4,2595.53
1,1,1.0,2.0,11098.1,3021.53
2,2,1.0,4.0,11321.9,3617.0
3,3,1.0,8.0,11473.1,5770.33
4,4,1.0,16.0,12032.2,11214.7
5,5,1.0,32.0,12858.1,31398.8
6,6,1.0,64.0,12845.0,71094.7
7,7,1.0,128.0,12923.2,138492.0
8,8,2.0,1.0,11708.4,2707.63
9,9,2.0,2.0,11794.5,3228.43
10,10,2.0,4.0,12084.4,4176.33
11,11,2.0,8.0,12567.7,7336.17
12,12,2.0,16.0,12908.1,14035.0
13,13,2.0,32.0,12897.6,34344.3
14,14,2.0,64.0,13295.4,75848.8
15,15,2.0,128.0,13281.1,145766.0
16,16,4.0,1.0,13450.0,2933.37
17,17,4.0,2.0,13438.2,3565.63
18,18,4.0,4.0,13655.2,4809.9
19,19,4.0,8.0,13830.6,8548.1
20,20,4.0,16.0,13830.8,15319.3
21,21,4.0,32.0,14183.8,37254.4
22,22,4.0,64.0,14118.3,80090.3
23,23,4.0,128.0,14215.1,149609.0
24,24,8.0,1.0,15603.1,3366.43
25,25,8.0,2.0,15730.4,4114.5
26,26,8.0,4.0,15508.0,5560.2
27,27,8.0,8.0,15625.2,9783.1
28,28,8.0,16.0,15646.2,18075.6
29,29,8.0,32.0,15888.5,45202.8
30,30,8.0,64.0,15870.5,87150.1
31,31,8.0,128.0,15912.1,164245.0
32,32,16.0,1.0,23457.7,4763.9
33,33,16.0,2.0,25821.1,6789.1
34,34,16.0,4.0,25409.3,10400.8
35,35,16.0,8.0,25695.6,17895.7
36,36,16.0,16.0,26624.3,38389.9
37,37,16.0,32.0,26778.3,76501.3
38,38,16.0,64.0,26586.1,147998.0
39,39,16.0,128.0,24423.8,288043.0
40,40,32.0,1.0,35279.1,6186.9
41,41,32.0,2.0,35567.6,8814.8
42,42,32.0,4.0,35499.4,14865.3
43,43,32.0,8.0,35608.2,28153.4
44,44,32.0,16.0,35657.6,55455.1
45,45,32.0,32.0,36010.3,113382.0
46,46,32.0,64.0,36248.0,219610.0
47,47,32.0,128.0,36912.7,422035.0
48,48,48.0,1.0,42058.9,8500.77
49,49,48.0,2.0,41685.0,11314.8
50,50,48.0,4.0,41676.4,20536.7
51,51,48.0,8.0,41547.7,37657.9
52,52,48.0,16.0,42838.9,77761.8
53,53,48.0,32.0,44127.7,156385.0
54,54,48.0,64.0,42508.3,295620.0
55,55,48.0,128.0,47134.1,569955.0
56,56,60.0,1.0,48871.0,9896.6
57,57,60.0,2.0,51586.9,15567.2
58,58,60.0,4.0,52165.1,26984.2
59,59,60.0,8.0,50539.8,54828.5
60,60,60.0,16.0,48579.0,101773.0
61,61,60.0,32.0,47481.8,197697.0
62,62,60.0,64.0,50755.3,338643.0
63,63,60.0,128.0,50774.0,645788.0
