,index,threads,nrhs,time1,time2
0,0,1.0,1.0,83644.2,14222.8
1,1,1.0,2.0,82962.7,15456.7
2,2,1.0,4.0,83089.1,19044.8
3,3,1.0,8.0,84936.5,26752.1
4,4,1.0,16.0,84446.8,45330.6
5,5,1.0,32.0,85634.9,79316.3
6,6,1.0,64.0,84341.2,151889.0
7,7,1.0,128.0,85304.8,304806.0
8,8,2.0,1.0,84571.7,14690.7
9,9,2.0,2.0,84781.4,16581.5
10,10,2.0,4.0,85746.5,19855.4
11,11,2.0,8.0,85522.6,29065.1
12,12,2.0,16.0,85199.5,46821.2
13,13,2.0,32.0,85586.3,81643.3
14,14,2.0,64.0,86682.8,158109.0
15,15,2.0,128.0,86664.8,304650.0
16,16,4.0,1.0,85659.8,15502.8
17,17,4.0,2.0,86035.9,17250.2
18,18,4.0,4.0,86669.4,20526.6
19,19,4.0,8.0,86139.2,30019.4
20,20,4.0,16.0,86617.6,47391.3
21,21,4.0,32.0,87065.8,83692.4
22,22,4.0,64.0,88481.4,163199.0
23,23,4.0,128.0,87838.8,320285.0
24,24,8.0,1.0,93759.3,18121.8
25,25,8.0,2.0,94092.0,20136.5
26,26,8.0,4.0,94563.8,26193.3
27,27,8.0,8.0,92453.1,35183.5
28,28,8.0,16.0,92779.6,57584.0
29,29,8.0,32.0,93436.6,108310.0
30,30,8.0,64.0,90552.0,168067.0
31,31,8.0,128.0,96190.4,414032.0
32,32,16.0,1.0,111307.0,20682.7
33,33,16.0,2.0,122707.0,25460.4
34,34,16.0,4.0,105736.0,29218.5
35,35,16.0,8.0,131061.0,44798.8
36,36,16.0,16.0,129074.0,74819.2
37,37,16.0,32.0,127964.0,139961.0
38,38,16.0,64.0,121476.0,267404.0
39,39,16.0,128.0,109466.0,555542.0
40,40,32.0,1.0,150908.0,26688.1
41,41,32.0,2.0,150938.0,31504.1
42,42,32.0,4.0,155593.0,41191.0
43,43,32.0,8.0,152669.0,61248.0
44,44,32.0,16.0,155423.0,105717.0
45,45,32.0,32.0,154208.0,197980.0
46,46,32.0,64.0,156050.0,391904.0
47,47,32.0,128.0,155571.0,793194.0
48,48,48.0,1.0,166743.0,35570.0
49,49,48.0,2.0,169145.0,41293.8
50,50,48.0,4.0,164712.0,55185.8
51,51,48.0,8.0,165312.0,80388.0
52,52,48.0,16.0,176610.0,139641.0
53,53,48.0,32.0,178754.0,266538.0
54,54,48.0,64.0,169880.0,528754.0
55,55,48.0,128.0,190251.0,1036240.0
56,56,60.0,1.0,189669.0,40777.1
57,57,60.0,2.0,177589.0,46796.6
58,58,60.0,4.0,176226.0,59365.4
59,59,60.0,8.0,193166.0,96217.8
60,60,60.0,16.0,199827.0,180321.0
61,61,60.0,32.0,189563.0,300773.0
62,62,60.0,64.0,209297.0,609857.0
63,63,60.0,128.0,206396.0,1225590.0
