,index,threads,nrhs,time1,time2
0,0,1.0,1.0,433589.0,24550.0
1,1,1.0,2.0,433863.0,31517.0
2,2,1.0,4.0,428990.0,36810.0
3,3,1.0,8.0,429959.0,56012.0
4,4,1.0,16.0,434216.0,88503.0
5,5,1.0,32.0,436819.0,160189.0
6,6,1.0,64.0,425439.0,292217.0
7,7,1.0,128.0,430346.0,566842.0
8,8,2.0,1.0,442629.0,25095.0
9,9,2.0,2.0,443905.0,30378.0
10,10,2.0,4.0,441694.0,38724.0
11,11,2.0,8.0,445838.0,59594.0
12,12,2.0,16.0,439875.0,98183.0
13,13,2.0,32.0,436880.0,172892.0
14,14,2.0,64.0,438846.0,320160.0
15,15,2.0,128.0,434903.0,615672.0
16,16,4.0,1.0,443168.0,28680.0
17,17,4.0,2.0,444972.0,34482.0
18,18,4.0,4.0,443255.0,41460.0
19,19,4.0,8.0,443561.0,62747.0
20,20,4.0,16.0,446362.0,105927.0
21,21,4.0,32.0,447366.0,189864.0
22,22,4.0,64.0,444815.0,347219.0
23,23,4.0,128.0,445596.0,666732.0
24,24,8.0,1.0,475901.0,30971.0
25,25,8.0,2.0,466847.0,35702.0
26,26,8.0,4.0,465034.0,45906.0
27,27,8.0,8.0,458686.0,69784.0
28,28,8.0,16.0,470462.0,120909.0
29,29,8.0,32.0,475600.0,224694.0
30,30,8.0,64.0,466296.0,401642.0
31,31,8.0,128.0,473822.0,795551.0
32,32,16.0,1.0,526296.0,32064.0
33,33,16.0,2.0,512926.0,40037.0
34,34,16.0,4.0,519362.0,54495.0
35,35,16.0,8.0,536317.0,90192.0
36,36,16.0,16.0,527225.0,160158.0
37,37,16.0,32.0,533412.0,292402.0
38,38,16.0,64.0,528437.0,572065.0
39,39,16.0,128.0,522560.0,1124450.0
40,40,32.0,1.0,788937.0,51185.0
41,41,32.0,2.0,787492.0,65705.0
42,42,32.0,4.0,801053.0,93830.0
43,43,32.0,8.0,794901.0,151995.0
44,44,32.0,16.0,794429.0,264442.0
45,45,32.0,32.0,792648.0,494677.0
46,46,32.0,64.0,785107.0,953029.0
47,47,32.0,128.0,792045.0,1849180.0
48,48,48.0,1.0,1150370.0,60817.0
49,49,48.0,2.0,1140720.0,81812.0
50,50,48.0,4.0,1130150.0,122917.0
51,51,48.0,8.0,1195760.0,199059.0
52,52,48.0,16.0,1131670.0,361398.0
53,53,48.0,32.0,1131780.0,670930.0
54,54,48.0,64.0,1143630.0,1301220.0
55,55,48.0,128.0,1148410.0,2585930.0
56,56,56.0,1.0,1454880.0,72201.0
57,57,56.0,2.0,1444870.0,91775.0
58,58,56.0,4.0,1452540.0,137189.0
59,59,56.0,8.0,1453060.0,228058.0
60,60,56.0,16.0,1449510.0,409905.0
61,61,56.0,32.0,1449780.0,790257.0
62,62,56.0,64.0,1446070.0,1513660.0
63,63,56.0,128.0,1458070.0,3098110.0
