,index,threads,nrhs,time1,time2
0,0,1.0,1.0,9601.9,1975.27
1,1,1.0,2.0,9604.37,2276.77
2,2,1.0,4.0,9552.8,2436.37
3,3,1.0,8.0,9551.43,3318.57
4,4,1.0,16.0,9590.6,5693.33
5,5,1.0,32.0,9604.63,14413.7
6,6,1.0,64.0,9573.57,31747.0
7,7,1.0,128.0,9795.6,65545.1
8,8,2.0,1.0,10688.3,2061.1
9,9,2.0,2.0,11326.3,2410.93
10,10,2.0,4.0,11006.9,3227.63
11,11,2.0,8.0,10888.0,3738.33
12,12,2.0,16.0,10326.3,7843.0
13,13,2.0,32.0,10103.5,16259.4
14,14,2.0,64.0,10113.5,34715.2
15,15,2.0,128.0,10062.7,70326.5
16,16,4.0,1.0,14473.0,2468.67
17,17,4.0,2.0,14667.9,2866.5
18,18,4.0,4.0,14566.5,3357.37
19,19,4.0,8.0,14467.7,4557.5
20,20,4.0,16.0,13412.1,8417.5
21,21,4.0,32.0,11836.3,18349.6
22,22,4.0,64.0,10408.3,37978.2
23,23,4.0,128.0,10164.6,76857.0
24,24,8.0,1.0,15371.0,2584.63
25,25,8.0,2.0,15321.1,2998.17
26,26,8.0,4.0,15243.9,3509.87
27,27,8.0,8.0,15285.9,5136.4
28,28,8.0,16.0,14654.5,10629.3
29,29,8.0,32.0,12796.8,22796.1
30,30,8.0,64.0,11041.8,47408.5
31,31,8.0,128.0,11418.4,95116.0
32,32,16.0,1.0,16859.7,3073.47
33,33,16.0,2.0,17101.5,3364.97
34,34,16.0,4.0,16752.0,4220.47
35,35,16.0,8.0,15513.9,6686.1
36,36,16.0,16.0,13093.5,15110.9
37,37,16.0,32.0,13113.4,32953.2
38,38,16.0,64.0,12999.0,71052.7
39,39,16.0,128.0,14054.5,143794.0
40,40,32.0,1.0,22165.1,5642.33
41,41,32.0,2.0,22120.2,5985.5
42,42,32.0,4.0,22495.4,8124.8
43,43,32.0,8.0,22323.8,15336.4
44,44,32.0,16.0,21807.3,32851.7
45,45,32.0,32.0,21436.5,69206.5
46,46,32.0,64.0,22073.7,140811.0
47,47,32.0,128.0,22196.4,283941.0
48,48,48.0,1.0,25777.0,5711.4
49,49,48.0,2.0,27601.2,6925.3
50,50,48.0,4.0,27431.7,10780.2
51,51,48.0,8.0,26366.1,22138.7
52,52,48.0,16.0,27576.6,50806.7
53,53,48.0,32.0,29872.7,102473.0
54,54,48.0,64.0,29816.0,204846.0
55,55,48.0,128.0,28722.6,410844.0
56,56,56.0,1.0,30449.1,6667.77
57,57,56.0,2.0,31672.3,7919.8
58,58,56.0,4.0,31576.3,13110.0
59,59,56.0,8.0,32663.6,27206.5
60,60,56.0,16.0,33890.9,60078.0
61,61,56.0,32.0,34325.8,120507.0
62,62,56.0,64.0,34235.5,237984.0
63,63,56.0,128.0,35182.5,475757.0
