,index,threads,nrhs,time1,time2
0,0,1.0,1.0,68636.1,10427.9
1,1,1.0,2.0,71485.1,11619.0
2,2,1.0,4.0,70336.1,12771.9
3,3,1.0,8.0,71603.8,16921.8
4,4,1.0,16.0,69907.7,26602.4
5,5,1.0,32.0,68233.2,45343.4
6,6,1.0,64.0,68345.1,76708.9
7,7,1.0,128.0,68323.2,152706.0
8,8,2.0,1.0,74641.4,11233.4
9,9,2.0,2.0,72515.6,12695.9
10,10,2.0,4.0,72372.1,13342.4
11,11,2.0,8.0,71923.5,18631.6
12,12,2.0,16.0,69842.5,26247.1
13,13,2.0,32.0,68211.3,45948.3
14,14,2.0,64.0,69480.2,84043.2
15,15,2.0,128.0,69514.4,158581.0
16,16,4.0,1.0,75925.6,13208.3
17,17,4.0,2.0,76531.6,13312.1
18,18,4.0,4.0,73762.3,14331.4
19,19,4.0,8.0,72608.1,18466.1
20,20,4.0,16.0,71669.8,28716.9
21,21,4.0,32.0,71771.2,49530.4
22,22,4.0,64.0,70837.6,89137.6
23,23,4.0,128.0,71105.6,168310.0
24,24,8.0,1.0,77649.0,12990.3
25,25,8.0,2.0,77492.5,13999.3
26,26,8.0,4.0,74806.3,15482.2
27,27,8.0,8.0,74598.6,20508.5
28,28,8.0,16.0,76746.2,32625.4
29,29,8.0,32.0,73828.0,56683.2
30,30,8.0,64.0,74672.2,101723.0
31,31,8.0,128.0,74419.2,191275.0
32,32,16.0,1.0,77813.2,13607.0
33,33,16.0,2.0,77780.6,15739.8
34,34,16.0,4.0,77495.7,17499.9
35,35,16.0,8.0,79913.6,24724.8
36,36,16.0,16.0,78503.6,39719.2
37,37,16.0,32.0,78230.2,71700.2
38,38,16.0,64.0,78560.4,132650.0
39,39,16.0,128.0,78905.6,254112.0
40,40,32.0,1.0,109988.0,21780.3
41,41,32.0,2.0,109782.0,24421.4
42,42,32.0,4.0,112497.0,30400.8
43,43,32.0,8.0,112644.0,45154.2
44,44,32.0,16.0,111469.0,74427.6
45,45,32.0,32.0,112184.0,130710.0
46,46,32.0,64.0,111509.0,243627.0
47,47,32.0,128.0,113599.0,471618.0
48,48,48.0,1.0,123485.0,25396.3
49,49,48.0,2.0,126158.0,29904.4
50,50,48.0,4.0,127132.0,39591.4
51,51,48.0,8.0,126917.0,58790.6
52,52,48.0,16.0,128295.0,99764.8
53,53,48.0,32.0,129459.0,181845.0
54,54,48.0,64.0,128766.0,338215.0
55,55,48.0,128.0,128071.0,674031.0
56,56,56.0,1.0,132303.0,30296.6
57,57,56.0,2.0,147502.0,34789.4
58,58,56.0,4.0,146265.0,46417.8
59,59,56.0,8.0,150863.0,67300.2
60,60,56.0,16.0,152631.0,113508.0
61,61,56.0,32.0,151199.0,208546.0
62,62,56.0,64.0,146662.0,394845.0
63,63,56.0,128.0,152531.0,784805.0
