,index,threads,nrhs,time1,time2
0,0,1.0,1.0,560656.0,32394.0
1,1,1.0,2.0,564162.0,40311.0
2,2,1.0,4.0,566917.0,54542.0
3,3,1.0,8.0,573976.0,88070.0
4,4,1.0,16.0,561006.0,151615.0
5,5,1.0,32.0,575089.0,291820.0
6,6,1.0,64.0,559418.0,593030.0
7,7,1.0,128.0,567504.0,1155470.0
8,8,2.0,1.0,602916.0,34513.0
9,9,2.0,2.0,600286.0,43079.0
10,10,2.0,4.0,597697.0,56361.0
11,11,2.0,8.0,596488.0,91970.0
12,12,2.0,16.0,587647.0,156363.0
13,13,2.0,32.0,595208.0,300351.0
14,14,2.0,64.0,590702.0,598319.0
15,15,2.0,128.0,596497.0,1164220.0
16,16,4.0,1.0,680925.0,35036.0
17,17,4.0,2.0,680229.0,44264.0
18,18,4.0,4.0,679165.0,58318.0
19,19,4.0,8.0,681392.0,95448.0
20,20,4.0,16.0,677330.0,162844.0
21,21,4.0,32.0,673037.0,309268.0
22,22,4.0,64.0,674031.0,594807.0
23,23,4.0,128.0,683925.0,1243440.0
24,24,8.0,1.0,823159.0,40204.0
25,25,8.0,2.0,819649.0,50779.0
26,26,8.0,4.0,819354.0,66844.0
27,27,8.0,8.0,819248.0,108208.0
28,28,8.0,16.0,814760.0,186877.0
29,29,8.0,32.0,821363.0,352733.0
30,30,8.0,64.0,834304.0,979505.0
31,31,8.0,128.0,830226.0,1416040.0
32,32,16.0,1.0,1053210.0,44882.0
33,33,16.0,2.0,1054390.0,55521.0
34,34,16.0,4.0,1062520.0,75969.0
35,35,16.0,8.0,1038820.0,128161.0
36,36,16.0,16.0,1050660.0,216396.0
37,37,16.0,32.0,1050260.0,425283.0
38,38,16.0,64.0,1058730.0,1030720.0
39,39,16.0,128.0,1049840.0,2319810.0
40,40,32.0,1.0,1872500.0,68189.0
41,41,32.0,2.0,1862040.0,93438.0
42,42,32.0,4.0,1826030.0,124426.0
43,43,32.0,8.0,1775190.0,208943.0
44,44,32.0,16.0,1885420.0,394815.0
45,45,32.0,32.0,1886020.0,721592.0
46,46,32.0,64.0,1862990.0,1567780.0
47,47,32.0,128.0,1987350.0,3429210.0
48,48,48.0,1.0,1962140.0,96228.0
49,49,48.0,2.0,1997640.0,115488.0
50,50,48.0,4.0,1958880.0,156013.0
51,51,48.0,8.0,2049650.0,264136.0
52,52,48.0,16.0,1987890.0,532400.0
53,53,48.0,32.0,2012140.0,943482.0
54,54,48.0,64.0,2067880.0,2031010.0
55,55,48.0,128.0,2110250.0,4033300.0
56,56,64.0,1.0,2132050.0,101287.0
57,57,64.0,2.0,2864310.0,157980.0
58,58,64.0,4.0,3066020.0,224604.0
59,59,64.0,8.0,3058430.0,349889.0
60,60,64.0,16.0,2205170.0,586284.0
61,61,64.0,32.0,2212780.0,1167680.0
62,62,64.0,64.0,2229240.0,2446240.0
63,63,64.0,128.0,2224620.0,5122730.0
