,index,threads,nrhs,time1,time2
0,0,1.0,1.0,1008.26,242.65
1,1,1.0,2.0,993.89,246.49
2,2,1.0,4.0,991.83,249.42
3,3,1.0,8.0,991.64,296.07
4,4,1.0,16.0,1079.99,474.82
5,5,1.0,32.0,1060.38,812.58
6,6,1.0,64.0,1010.58,2131.21
7,7,1.0,128.0,1052.8,4071.2
8,8,2.0,1.0,1020.33,248.67
9,9,2.0,2.0,1019.71,255.79
10,10,2.0,4.0,1026.1,266.13
11,11,2.0,8.0,1019.8,301.3
12,12,2.0,16.0,1103.18,477.65
13,13,2.0,32.0,1079.49,811.43
14,14,2.0,64.0,1090.6,2291.8
15,15,2.0,128.0,1085.6,4269.5
16,16,4.0,1.0,1060.06,250.19
17,17,4.0,2.0,1061.29,256.89
18,18,4.0,4.0,1053.89,258.19
19,19,4.0,8.0,1106.53,338.71
20,20,4.0,16.0,1185.29,499.73
21,21,4.0,32.0,1164.0,904.6
22,22,4.0,64.0,1169.0,2388.5
23,23,4.0,128.0,1181.0,5403.4
24,24,8.0,1.0,1237.25,272.57
25,25,8.0,2.0,1232.69,273.51
26,26,8.0,4.0,1235.46,281.75
27,27,8.0,8.0,1315.55,364.58
28,28,8.0,16.0,1295.9,559.2
29,29,8.0,32.0,1277.0,997.3
30,30,8.0,64.0,1306.6,2956.1
31,31,8.0,128.0,1326.5,6643.9
32,32,16.0,1.0,1991.45,495.57
33,33,16.0,2.0,1986.18,515.09
34,34,16.0,4.0,1779.57,431.9
35,35,16.0,8.0,1933.5,651.6
36,36,16.0,16.0,1948.1,1098.1
37,37,16.0,32.0,1943.1,2274.5
38,38,16.0,64.0,1937.0,5117.4
39,39,16.0,128.0,1839.1,10470.5
40,40,32.0,1.0,2840.35,620.87
41,41,32.0,2.0,2881.53,693.03
42,42,32.0,4.0,2680.1,721.4
43,43,32.0,8.0,2788.2,948.5
44,44,32.0,16.0,2816.6,1542.3
45,45,32.0,32.0,2866.2,3718.6
46,46,32.0,64.0,2768.2,8513.6
47,47,32.0,128.0,2843.6,18910.5
48,48,48.0,1.0,4312.25,818.8
49,49,48.0,2.0,4019.1,853.9
50,50,48.0,4.0,4262.6,928.0
51,51,48.0,8.0,4633.1,1428.6
52,52,48.0,16.0,4504.4,3082.7
53,53,48.0,32.0,4508.2,6677.9
54,54,48.0,64.0,4632.4,14168.9
55,55,48.0,128.0,4514.2,30344.5
56,56,64.0,1.0,4999.25,922.99
57,57,64.0,2.0,5153.0,1006.5
58,58,64.0,4.0,5560.5,1156.5
59,59,64.0,8.0,5081.9,1562.1
60,60,64.0,16.0,5144.3,2975.9
61,61,64.0,32.0,4813.4,6945.3
62,62,64.0,64.0,5223.0,18751.5
63,63,64.0,128.0,5382.6,42242.5
