,index,threads,nrhs,time1,time2
0,0,1.0,1.0,90735.1,15068.8
1,1,1.0,2.0,90307.3,16248.1
2,2,1.0,4.0,90434.7,19194.0
3,3,1.0,8.0,90724.6,27529.8
4,4,1.0,16.0,91900.3,46361.4
5,5,1.0,32.0,91746.2,82350.0
6,6,1.0,64.0,92039.3,156480.0
7,7,1.0,128.0,92641.0,314737.0
8,8,2.0,1.0,92065.6,15617.0
9,9,2.0,2.0,92129.2,17170.1
10,10,2.0,4.0,93170.3,20615.1
11,11,2.0,8.0,92664.4,29982.5
12,12,2.0,16.0,92736.8,47571.7
13,13,2.0,32.0,92056.0,85660.7
14,14,2.0,64.0,93970.6,162343.0
15,15,2.0,128.0,93711.2,328244.0
16,16,4.0,1.0,93097.3,16198.6
17,17,4.0,2.0,93247.2,17806.0
18,18,4.0,4.0,92968.3,21658.3
19,19,4.0,8.0,93541.9,30903.1
20,20,4.0,16.0,93394.0,49018.0
21,21,4.0,32.0,94500.8,87009.2
22,22,4.0,64.0,95074.4,167271.0
23,23,4.0,128.0,95664.2,336738.0
24,24,8.0,1.0,98961.4,19020.5
25,25,8.0,2.0,99476.3,20888.0
26,26,8.0,4.0,97940.7,24108.5
27,27,8.0,8.0,99004.3,37556.0
28,28,8.0,16.0,104824.0,58360.4
29,29,8.0,32.0,98589.6,109711.0
30,30,8.0,64.0,102588.0,215372.0
31,31,8.0,128.0,102653.0,463435.0
32,32,16.0,1.0,104970.0,18951.9
33,33,16.0,2.0,107208.0,22552.7
34,34,16.0,4.0,104908.0,27166.3
35,35,16.0,8.0,107783.0,39613.2
36,36,16.0,16.0,107781.0,66939.8
37,37,16.0,32.0,108053.0,126359.0
38,38,16.0,64.0,111011.0,259345.0
39,39,16.0,128.0,116775.0,517832.0
40,40,32.0,1.0,158765.0,28346.7
41,41,32.0,2.0,158337.0,33406.1
42,42,32.0,4.0,161230.0,43508.0
43,43,32.0,8.0,161349.0,64880.4
44,44,32.0,16.0,163969.0,111037.0
45,45,32.0,32.0,164477.0,205246.0
46,46,32.0,64.0,162049.0,410773.0
47,47,32.0,128.0,164011.0,885618.0
48,48,48.0,1.0,179835.0,41499.1
49,49,48.0,2.0,172632.0,42093.6
50,50,48.0,4.0,189147.0,63664.4
51,51,48.0,8.0,172418.0,81805.2
52,52,48.0,16.0,201301.0,175635.0
53,53,48.0,32.0,179143.0,268234.0
54,54,48.0,64.0,196627.0,480351.0
55,55,48.0,128.0,193870.0,1083070.0
56,56,64.0,1.0,190001.0,38790.3
57,57,64.0,2.0,194490.0,47843.2
58,58,64.0,4.0,203650.0,66130.4
59,59,64.0,8.0,202910.0,104603.0
60,60,64.0,16.0,216914.0,182697.0
61,61,64.0,32.0,239578.0,379422.0
62,62,64.0,64.0,234802.0,724322.0
63,63,64.0,128.0,245556.0,1318840.0
