,index,threads,nrhs,time1,time2
0,0,1.0,1.0,674639.0,28943.0
1,1,1.0,2.0,686800.0,34820.0
2,2,1.0,4.0,690734.0,49333.0
3,3,1.0,8.0,691390.0,77979.0
4,4,1.0,16.0,689531.0,137367.0
5,5,1.0,32.0,679672.0,262989.0
6,6,1.0,64.0,662465.0,495346.0
7,7,1.0,128.0,696426.0,974850.0
8,8,2.0,1.0,693466.0,29717.0
9,9,2.0,2.0,702466.0,36588.0
10,10,2.0,4.0,733909.0,52067.0
11,11,2.0,8.0,693356.0,81687.0
12,12,2.0,16.0,691166.0,144005.0
13,13,2.0,32.0,719191.0,274199.0
14,14,2.0,64.0,699865.0,523103.0
15,15,2.0,128.0,692249.0,1020840.0
16,16,4.0,1.0,781017.0,31298.0
17,17,4.0,2.0,783143.0,37883.0
18,18,4.0,4.0,802293.0,53627.0
19,19,4.0,8.0,795603.0,84352.0
20,20,4.0,16.0,780434.0,149238.0
21,21,4.0,32.0,779568.0,286154.0
22,22,4.0,64.0,808261.0,544779.0
23,23,4.0,128.0,795171.0,1070300.0
24,24,8.0,1.0,908518.0,31911.0
25,25,8.0,2.0,897342.0,39950.0
26,26,8.0,4.0,892005.0,56721.0
27,27,8.0,8.0,895439.0,90022.0
28,28,8.0,16.0,901826.0,161420.0
29,29,8.0,32.0,909525.0,309173.0
30,30,8.0,64.0,901677.0,592412.0
31,31,8.0,128.0,901206.0,1175920.0
32,32,16.0,1.0,1057580.0,34536.0
33,33,16.0,2.0,1059690.0,44283.0
34,34,16.0,4.0,1047960.0,64560.0
35,35,16.0,8.0,1050700.0,105892.0
36,36,16.0,16.0,1073380.0,195220.0
37,37,16.0,32.0,1065170.0,379393.0
38,38,16.0,64.0,1053860.0,735027.0
39,39,16.0,128.0,1050430.0,1490850.0
40,40,32.0,1.0,1448480.0,42526.0
41,41,32.0,2.0,1447250.0,56790.0
42,42,32.0,4.0,1442340.0,89243.0
43,43,32.0,8.0,1442270.0,155971.0
44,44,32.0,16.0,1446530.0,301714.0
45,45,32.0,32.0,1444970.0,600559.0
46,46,32.0,64.0,1442880.0,1198730.0
47,47,32.0,128.0,1444810.0,2431700.0
48,48,48.0,1.0,1980610.0,53067.0
49,49,48.0,2.0,1972660.0,85089.0
50,50,48.0,4.0,1967430.0,119745.0
51,51,48.0,8.0,1972440.0,217790.0
52,52,48.0,16.0,1971050.0,430328.0
53,53,48.0,32.0,1965930.0,837638.0
54,54,48.0,64.0,1975280.0,1737030.0
55,55,48.0,128.0,1972590.0,3471850.0
