,index,threads,nrhs,time1,time2
0,0,1.0,1.0,14367.6,2237.87
1,1,1.0,2.0,14491.6,2676.23
2,2,1.0,4.0,14287.8,3866.6
3,3,1.0,8.0,14370.1,6749.87
4,4,1.0,16.0,14542.0,12082.0
5,5,1.0,32.0,14760.2,25941.0
6,6,1.0,64.0,14729.7,53324.1
7,7,1.0,128.0,14935.7,111379.0
8,8,2.0,1.0,14895.6,2289.2
9,9,2.0,2.0,15132.3,2763.33
10,10,2.0,4.0,15388.8,4142.4
11,11,2.0,8.0,15260.2,6733.53
12,12,2.0,16.0,15215.7,13385.1
13,13,2.0,32.0,15151.4,29406.9
14,14,2.0,64.0,15238.0,60226.9
15,15,2.0,128.0,15245.5,119553.0
16,16,4.0,1.0,16531.8,2472.57
17,17,4.0,2.0,16457.0,3086.83
18,18,4.0,4.0,16555.7,4516.7
19,19,4.0,8.0,16222.0,7729.33
20,20,4.0,16.0,15989.8,14962.7
21,21,4.0,32.0,16090.0,33254.1
22,22,4.0,64.0,16145.6,66234.9
23,23,4.0,128.0,16658.0,132673.0
24,24,8.0,1.0,19014.4,2793.27
25,25,8.0,2.0,18407.5,3422.13
26,26,8.0,4.0,18232.2,4959.6
27,27,8.0,8.0,18092.6,8708.83
28,28,8.0,16.0,18276.9,17594.1
29,29,8.0,32.0,18218.7,38177.9
30,30,8.0,64.0,18357.5,76294.7
31,31,8.0,128.0,18438.9,151525.0
32,32,16.0,1.0,21709.5,2980.8
33,33,16.0,2.0,21532.4,3847.77
34,34,16.0,4.0,21645.6,6056.9
35,35,16.0,8.0,21749.3,11464.8
36,36,16.0,16.0,21717.7,23021.0
37,37,16.0,32.0,21649.1,49107.1
38,38,16.0,64.0,21814.4,98997.7
39,39,16.0,128.0,22075.2,195052.0
40,40,32.0,1.0,27648.9,3792.23
41,41,32.0,2.0,27306.6,5265.77
42,42,32.0,4.0,27692.2,9141.8
43,43,32.0,8.0,27788.2,17888.1
44,44,32.0,16.0,27604.0,35932.4
45,45,32.0,32.0,27767.5,75494.8
46,46,32.0,64.0,28239.9,152649.0
47,47,32.0,128.0,28386.1,300866.0
48,48,48.0,1.0,35114.6,6000.8
49,49,48.0,2.0,35490.4,9120.8
50,50,48.0,4.0,34993.6,15713.8
51,51,48.0,8.0,35134.5,28560.5
52,52,48.0,16.0,34770.5,55801.9
53,53,48.0,32.0,35377.7,117302.0
54,54,48.0,64.0,35443.6,223827.0
55,55,48.0,128.0,35920.4,439601.0
