,index,threads,nrhs,time1,time2
0,0,1.0,1.0,94151.4,11069.0
1,1,1.0,2.0,94965.4,12561.7
2,2,1.0,4.0,93938.1,16544.6
3,3,1.0,8.0,94548.7,24366.0
4,4,1.0,16.0,95619.6,41018.0
5,5,1.0,32.0,93761.4,72845.9
6,6,1.0,64.0,93529.2,139167.0
7,7,1.0,128.0,93901.4,282805.0
8,8,2.0,1.0,96789.3,12249.7
9,9,2.0,2.0,96872.3,13854.7
10,10,2.0,4.0,96373.1,17782.4
11,11,2.0,8.0,96278.9,25892.2
12,12,2.0,16.0,95912.7,41930.2
13,13,2.0,32.0,95962.8,75195.7
14,14,2.0,64.0,96127.4,145978.0
15,15,2.0,128.0,96525.2,292085.0
16,16,4.0,1.0,97975.9,12990.9
17,17,4.0,2.0,97274.7,14474.1
18,18,4.0,4.0,96866.3,18457.2
19,19,4.0,8.0,97000.1,26671.8
20,20,4.0,16.0,96365.9,43202.7
21,21,4.0,32.0,97308.4,79379.8
22,22,4.0,64.0,97515.8,152143.0
23,23,4.0,128.0,97417.4,304027.0
24,24,8.0,1.0,99778.8,13477.8
25,25,8.0,2.0,99531.7,15163.0
26,26,8.0,4.0,99334.9,19361.3
27,27,8.0,8.0,99350.8,28216.0
28,28,8.0,16.0,100484.0,46794.8
29,29,8.0,32.0,101323.0,85663.4
30,30,8.0,64.0,101388.0,164572.0
31,31,8.0,128.0,101684.0,330040.0
32,32,16.0,1.0,105435.0,14385.5
33,33,16.0,2.0,104981.0,16426.2
34,34,16.0,4.0,105009.0,21521.3
35,35,16.0,8.0,105876.0,31987.0
36,36,16.0,16.0,105674.0,53490.0
37,37,16.0,32.0,105869.0,98801.8
38,38,16.0,64.0,106174.0,191424.0
39,39,16.0,128.0,106481.0,385384.0
40,40,32.0,1.0,116217.0,17541.1
41,41,32.0,2.0,116117.0,20671.3
42,42,32.0,4.0,117312.0,28158.8
43,43,32.0,8.0,117347.0,42824.6
44,44,32.0,16.0,117687.0,73209.0
45,45,32.0,32.0,118263.0,138792.0
46,46,32.0,64.0,117927.0,272533.0
47,47,32.0,128.0,118743.0,567215.0
48,48,48.0,1.0,131084.0,24932.1
49,49,48.0,2.0,131959.0,30845.6
50,50,48.0,4.0,132717.0,39157.0
51,51,48.0,8.0,131570.0,62847.4
52,52,48.0,16.0,132070.0,101807.0
53,53,48.0,32.0,132171.0,189099.0
54,54,48.0,64.0,132377.0,380514.0
55,55,48.0,128.0,132935.0,797691.0
