,index,threads,nrhs,time1,time2
0,0,1.0,1.0,1583430.0,48541.0
1,1,1.0,2.0,1770230.0,56366.0
2,2,1.0,4.0,1773370.0,60026.0
3,3,1.0,8.0,2767180.0,84395.0
4,4,1.0,16.0,1666190.0,128726.0
5,5,1.0,32.0,1572990.0,214762.0
6,6,1.0,64.0,1571440.0,366880.0
7,7,1.0,128.0,1756760.0,718988.0
8,8,2.0,1.0,2086730.0,49958.0
9,9,2.0,2.0,1810600.0,67402.0
10,10,2.0,4.0,1902720.0,62134.0
11,11,2.0,8.0,1578030.0,87972.0
12,12,2.0,16.0,1579520.0,134555.0
13,13,2.0,32.0,1676690.0,293994.0
14,14,2.0,64.0,1640320.0,470476.0
15,15,2.0,128.0,3818240.0,1489350.0
16,16,4.0,1.0,1588020.0,49763.0
17,17,4.0,2.0,1594520.0,58413.0
18,18,4.0,4.0,1658620.0,62718.0
19,19,4.0,8.0,1702870.0,87792.0
20,20,4.0,16.0,1943490.0,147631.0
21,21,4.0,32.0,1707340.0,292041.0
22,22,4.0,64.0,1802930.0,752662.0
23,23,4.0,128.0,1592040.0,793861.0
24,24,8.0,1.0,1669220.0,53203.0
25,25,8.0,2.0,1830630.0,95845.0
26,26,8.0,4.0,2309940.0,88460.0
27,27,8.0,8.0,1705080.0,98295.0
28,28,8.0,16.0,1609780.0,157069.0
29,29,8.0,32.0,1613760.0,272810.0
30,30,8.0,64.0,1792660.0,512390.0
31,31,8.0,128.0,2326650.0,3015780.0
32,32,16.0,1.0,1933190.0,53615.0
33,33,16.0,2.0,1714580.0,67826.0
34,34,16.0,4.0,1729450.0,81245.0
35,35,16.0,8.0,1900890.0,135977.0
36,36,16.0,16.0,1861910.0,230798.0
37,37,16.0,32.0,1708440.0,419366.0
38,38,16.0,64.0,1721390.0,864527.0
39,39,16.0,128.0,2285750.0,1668120.0
40,40,32.0,1.0,3348680.0,101046.0
41,41,32.0,2.0,2444010.0,115068.0
42,42,32.0,4.0,2329750.0,156188.0
43,43,32.0,8.0,2539710.0,266976.0
44,44,32.0,16.0,2762090.0,419593.0
45,45,32.0,32.0,2440110.0,828930.0
46,46,32.0,64.0,2484040.0,1602910.0
47,47,32.0,128.0,2498870.0,3082120.0
48,48,48.0,1.0,2506060.0,93883.0
49,49,48.0,2.0,2768630.0,122851.0
50,50,48.0,4.0,2858520.0,184572.0
51,51,48.0,8.0,2737460.0,297324.0
52,52,48.0,16.0,2563980.0,546440.0
53,53,48.0,32.0,2890760.0,969830.0
54,54,48.0,64.0,2870640.0,1909950.0
55,55,48.0,128.0,2766890.0,3893980.0
56,56,56.0,1.0,2766970.0,98726.0
57,57,56.0,2.0,2624840.0,132949.0
58,58,56.0,4.0,3375780.0,222566.0
59,59,56.0,8.0,3098780.0,361543.0
60,60,56.0,16.0,2574480.0,610545.0
61,61,56.0,32.0,2809510.0,1129050.0
62,62,56.0,64.0,2765980.0,2205950.0
63,63,56.0,128.0,3461150.0,4444560.0
