,index,threads,nrhs,time1,time2
0,0,1.0,1.0,2861.68,572.89
1,1,1.0,2.0,2234.99,472.9
2,2,1.0,4.0,1855.04,384.42
3,3,1.0,8.0,1632.51,354.71
4,4,1.0,16.0,1624.39,415.16
5,5,1.0,32.0,1623.03,631.28
6,6,1.0,64.0,1625.52,1065.13
7,7,1.0,128.0,1689.7,2213.9
8,8,2.0,1.0,1683.64,324.71
9,9,2.0,2.0,1679.47,335.67
10,10,2.0,4.0,1749.46,335.43
11,11,2.0,8.0,1684.81,365.73
12,12,2.0,16.0,1704.39,510.49
13,13,2.0,32.0,1768.8,918.33
14,14,2.0,64.0,2078.0,1820.9
15,15,2.0,128.0,2198.7,3584.5
16,16,4.0,1.0,1986.55,392.23
17,17,4.0,2.0,1865.55,374.8
18,18,4.0,4.0,1905.91,397.32
19,19,4.0,8.0,1846.78,425.83
20,20,4.0,16.0,1966.39,687.04
21,21,4.0,32.0,2018.1,1063.1
22,22,4.0,64.0,2203.5,2310.2
23,23,4.0,128.0,2265.1,3524.4
24,24,8.0,1.0,2045.75,388.72
25,25,8.0,2.0,2104.28,436.93
26,26,8.0,4.0,2682.86,522.34
27,27,8.0,8.0,2161.34,506.77
28,28,8.0,16.0,2038.2,687.6
29,29,8.0,32.0,2093.4,1471.1
30,30,8.0,64.0,2169.2,2302.3
31,31,8.0,128.0,2114.4,5356.3
32,32,16.0,1.0,2432.45,497.75
33,33,16.0,2.0,2272.5,482.34
34,34,16.0,4.0,2236.59,482.41
35,35,16.0,8.0,2268.4,597.6
36,36,16.0,16.0,2332.7,1021.2
37,37,16.0,32.0,2434.4,1955.8
38,38,16.0,64.0,2445.7,3979.0
39,39,16.0,128.0,2411.2,9929.9
40,40,32.0,1.0,3152.84,691.47
41,41,32.0,2.0,5207.74,1209.08
42,42,32.0,4.0,5055.0,1063.1
43,43,32.0,8.0,4676.5,1456.6
44,44,32.0,16.0,4393.8,2498.0
45,45,32.0,32.0,4284.3,4461.9
46,46,32.0,64.0,7108.5,14062.8
47,47,32.0,128.0,6478.5,24912.1
48,48,48.0,1.0,5729.67,1252.2
49,49,48.0,2.0,7350.7,1395.3
50,50,48.0,4.0,6865.1,1359.5
51,51,48.0,8.0,5470.2,1581.4
52,52,48.0,16.0,6267.0,3184.7
53,53,48.0,32.0,5538.0,6581.9
54,54,48.0,64.0,5048.3,14751.8
55,55,48.0,128.0,4488.1,32714.3
56,56,56.0,1.0,4347.7,774.33
57,57,56.0,2.0,4694.7,879.6
58,58,56.0,4.0,4295.7,979.5
59,59,56.0,8.0,5534.8,1717.9
60,60,56.0,16.0,5805.0,3193.3
61,61,56.0,32.0,5567.4,7390.2
62,62,56.0,64.0,4976.8,15049.7
63,63,56.0,128.0,5454.5,40059.7
