,index,threads,nrhs,time1,time2
0,0,1.0,1.0,155970.0,18053.9
1,1,1.0,2.0,155187.0,20098.7
2,2,1.0,4.0,155674.0,19728.1
3,3,1.0,8.0,164730.0,25741.7
4,4,1.0,16.0,156132.0,34147.8
5,5,1.0,32.0,169368.0,56708.8
6,6,1.0,64.0,212641.0,127508.0
7,7,1.0,128.0,163165.0,184724.0
8,8,2.0,1.0,162251.0,19475.8
9,9,2.0,2.0,158316.0,20984.0
10,10,2.0,4.0,170058.0,21649.4
11,11,2.0,8.0,157951.0,24881.0
12,12,2.0,16.0,158641.0,34505.0
13,13,2.0,32.0,154752.0,57849.2
14,14,2.0,64.0,155659.0,99481.8
15,15,2.0,128.0,242054.0,256500.0
16,16,4.0,1.0,159917.0,20340.3
17,17,4.0,2.0,163301.0,22714.1
18,18,4.0,4.0,157432.0,21638.6
19,19,4.0,8.0,199941.0,33919.6
20,20,4.0,16.0,406179.0,81923.5
21,21,4.0,32.0,158375.0,64954.2
22,22,4.0,64.0,158544.0,111395.0
23,23,4.0,128.0,158861.0,208309.0
24,24,8.0,1.0,166600.0,21396.8
25,25,8.0,2.0,168362.0,24275.8
26,26,8.0,4.0,169016.0,26124.9
27,27,8.0,8.0,201598.0,39041.2
28,28,8.0,16.0,241157.0,63846.4
29,29,8.0,32.0,174211.0,87152.8
30,30,8.0,64.0,337542.0,274364.0
31,31,8.0,128.0,162522.0,277947.0
32,32,16.0,1.0,168483.0,22100.7
33,33,16.0,2.0,174710.0,27513.6
34,34,16.0,4.0,178128.0,32454.9
35,35,16.0,8.0,181888.0,49816.0
36,36,16.0,16.0,193228.0,75683.8
37,37,16.0,32.0,180326.0,140470.0
38,38,16.0,64.0,320692.0,280048.0
39,39,16.0,128.0,173531.0,487687.0
40,40,32.0,1.0,212707.0,36629.3
41,41,32.0,2.0,218675.0,45543.6
42,42,32.0,4.0,228819.0,59241.0
43,43,32.0,8.0,222875.0,87472.0
44,44,32.0,16.0,238506.0,150480.0
45,45,32.0,32.0,240317.0,270479.0
46,46,32.0,64.0,227657.0,480252.0
47,47,32.0,128.0,215145.0,1005440.0
48,48,48.0,1.0,222725.0,38215.9
49,49,48.0,2.0,250238.0,52061.4
50,50,48.0,4.0,237656.0,65828.4
51,51,48.0,8.0,248826.0,103461.0
52,52,48.0,16.0,240098.0,174742.0
53,53,48.0,32.0,223507.0,311815.0
54,54,48.0,64.0,245812.0,637317.0
55,55,48.0,128.0,255782.0,1028110.0
56,56,56.0,1.0,241590.0,45770.0
57,57,56.0,2.0,248714.0,49299.6
58,58,56.0,4.0,234260.0,70933.0
59,59,56.0,8.0,258538.0,124113.0
60,60,56.0,16.0,255746.0,189958.0
61,61,56.0,32.0,254374.0,341022.0
62,62,56.0,64.0,272460.0,690762.0
63,63,56.0,128.0,235887.0,1170550.0
