,index,threads,nrhs,time1,time2
0,0,1.0,1.0,1582730.0,54091.0
1,1,1.0,2.0,1597350.0,56915.0
2,2,1.0,4.0,2139060.0,117222.0
3,3,1.0,8.0,1578280.0,82545.0
4,4,1.0,16.0,2077240.0,127606.0
5,5,1.0,32.0,1569670.0,212031.0
6,6,1.0,64.0,1568360.0,379852.0
7,7,1.0,128.0,1567160.0,716326.0
8,8,2.0,1.0,1644520.0,47433.0
9,9,2.0,2.0,1581770.0,56499.0
10,10,2.0,4.0,1593520.0,62496.0
11,11,2.0,8.0,1587610.0,87331.0
12,12,2.0,16.0,1577480.0,136775.0
13,13,2.0,32.0,1577460.0,218627.0
14,14,2.0,64.0,1694970.0,426977.0
15,15,2.0,128.0,1582580.0,874602.0
16,16,4.0,1.0,1623350.0,50200.0
17,17,4.0,2.0,1671580.0,58530.0
18,18,4.0,4.0,1653370.0,62399.0
19,19,4.0,8.0,1591270.0,84344.0
20,20,4.0,16.0,1674420.0,141193.0
21,21,4.0,32.0,1592130.0,228082.0
22,22,4.0,64.0,1965250.0,453128.0
23,23,4.0,128.0,1639430.0,842189.0
24,24,8.0,1.0,1703280.0,53879.0
25,25,8.0,2.0,1614550.0,60490.0
26,26,8.0,4.0,1614930.0,68320.0
27,27,8.0,8.0,1994850.0,105610.0
28,28,8.0,16.0,1632450.0,155557.0
29,29,8.0,32.0,2635190.0,301180.0
30,30,8.0,64.0,1668000.0,707480.0
31,31,8.0,128.0,1607380.0,998170.0
32,32,16.0,1.0,1907430.0,80570.0
33,33,16.0,2.0,1788690.0,66311.0
34,34,16.0,4.0,1754360.0,87806.0
35,35,16.0,8.0,1768100.0,132474.0
36,36,16.0,16.0,1706430.0,228841.0
37,37,16.0,32.0,1712290.0,418587.0
38,38,16.0,64.0,1748610.0,858821.0
39,39,16.0,128.0,1732600.0,1636880.0
40,40,32.0,1.0,2375510.0,85644.0
41,41,32.0,2.0,2405150.0,110915.0
42,42,32.0,4.0,2393180.0,160983.0
43,43,32.0,8.0,2493470.0,259215.0
44,44,32.0,16.0,2378260.0,420775.0
45,45,32.0,32.0,2498110.0,896865.0
46,46,32.0,64.0,2531580.0,1521810.0
47,47,32.0,128.0,2515020.0,3195280.0
48,48,64.0,1.0,2877480.0,115748.0
49,49,64.0,2.0,3767020.0,179706.0
50,50,64.0,4.0,3207450.0,236552.0
51,51,64.0,8.0,2827000.0,378862.0
52,52,64.0,16.0,3568830.0,744216.0
53,53,64.0,32.0,3212650.0,1261080.0
54,54,64.0,64.0,2979670.0,2527560.0
55,55,64.0,128.0,2943360.0,5174260.0
