,index,threads,nrhs,time1,time2
0,0,1.0,1.0,24502.3,3870.83
1,1,1.0,2.0,24492.3,4241.67
2,2,1.0,4.0,24477.1,4106.07
3,3,1.0,8.0,24528.5,4737.93
4,4,1.0,16.0,24987.5,7091.77
5,5,1.0,32.0,24712.7,16813.8
6,6,1.0,64.0,25240.4,36896.6
7,7,1.0,128.0,25964.6,74773.7
8,8,2.0,1.0,26558.2,4086.83
9,9,2.0,2.0,26235.7,4448.77
10,10,2.0,4.0,25251.5,4374.0
11,11,2.0,8.0,27900.8,5858.63
12,12,2.0,16.0,29877.8,10168.4
13,13,2.0,32.0,32927.9,21219.4
14,14,2.0,64.0,25442.5,39454.7
15,15,2.0,128.0,25885.7,85589.0
16,16,4.0,1.0,26988.0,4148.5
17,17,4.0,2.0,26764.5,4576.5
18,18,4.0,4.0,26647.0,4744.3
19,19,4.0,8.0,33373.3,8148.93
20,20,4.0,16.0,25959.2,11675.9
21,21,4.0,32.0,25437.0,25020.1
22,22,4.0,64.0,25405.6,52916.2
23,23,4.0,128.0,29715.2,111866.0
24,24,8.0,1.0,29086.1,4429.97
25,25,8.0,2.0,28765.5,4890.83
26,26,8.0,4.0,29092.3,5562.07
27,27,8.0,8.0,28131.6,8764.43
28,28,8.0,16.0,27787.3,18785.5
29,29,8.0,32.0,27456.3,38241.5
30,30,8.0,64.0,27482.7,83600.9
31,31,8.0,128.0,29554.7,161169.0
32,32,16.0,1.0,33986.7,5721.83
33,33,16.0,2.0,43954.0,11311.3
34,34,16.0,4.0,31906.3,8455.8
35,35,16.0,8.0,33830.4,18575.1
36,36,16.0,16.0,32628.3,38784.5
37,37,16.0,32.0,31917.4,76974.2
38,38,16.0,64.0,35335.8,158071.0
39,39,16.0,128.0,35356.6,289611.0
40,40,32.0,1.0,47176.8,8514.77
41,41,32.0,2.0,44414.0,11049.2
42,42,32.0,4.0,46052.1,20741.9
43,43,32.0,8.0,47589.5,41440.3
44,44,32.0,16.0,45455.3,82214.8
45,45,32.0,32.0,46191.9,156854.0
46,46,32.0,64.0,46914.9,310956.0
47,47,32.0,128.0,47114.6,609084.0
48,48,64.0,1.0,57394.7,11880.0
49,49,64.0,2.0,60230.3,16508.3
50,50,64.0,4.0,59871.5,29731.1
51,51,64.0,8.0,70657.3,70121.4
52,52,64.0,16.0,66914.9,133020.0
53,53,64.0,32.0,67027.9,263115.0
54,54,64.0,64.0,64289.7,450240.0
55,55,64.0,128.0,63839.8,799290.0
