,index,threads,nrhs,time1,time2
0,0,1.0,1.0,156872.0,18201.2
1,1,1.0,2.0,160800.0,20708.0
2,2,1.0,4.0,156144.0,19819.9
3,3,1.0,8.0,155063.0,23608.7
4,4,1.0,16.0,154518.0,33854.6
5,5,1.0,32.0,156122.0,54889.6
6,6,1.0,64.0,154095.0,89661.2
7,7,1.0,128.0,154776.0,176106.0
8,8,2.0,1.0,156311.0,18726.1
9,9,2.0,2.0,156753.0,20419.7
10,10,2.0,4.0,159676.0,20206.6
11,11,2.0,8.0,156415.0,24562.1
12,12,2.0,16.0,173793.0,36635.4
13,13,2.0,32.0,162759.0,58481.3
14,14,2.0,64.0,160973.0,102290.0
15,15,2.0,128.0,155946.0,185814.0
16,16,4.0,1.0,157850.0,19871.3
17,17,4.0,2.0,161840.0,22719.3
18,18,4.0,4.0,159013.0,21997.7
19,19,4.0,8.0,158453.0,27141.8
20,20,4.0,16.0,159791.0,38537.4
21,21,4.0,32.0,158326.0,64844.2
22,22,4.0,64.0,290056.0,172677.0
23,23,4.0,128.0,163188.0,216836.0
24,24,8.0,1.0,217806.0,27402.4
25,25,8.0,2.0,173694.0,24996.8
26,26,8.0,4.0,161850.0,23981.6
27,27,8.0,8.0,162443.0,31318.9
28,28,8.0,16.0,181278.0,51673.4
29,29,8.0,32.0,166772.0,80586.2
30,30,8.0,64.0,163319.0,144196.0
31,31,8.0,128.0,165076.0,276523.0
32,32,16.0,1.0,176873.0,24677.3
33,33,16.0,2.0,179755.0,28635.3
34,34,16.0,4.0,201321.0,32276.4
35,35,16.0,8.0,176816.0,46541.0
36,36,16.0,16.0,178555.0,80847.2
37,37,16.0,32.0,178179.0,142414.0
38,38,16.0,64.0,171824.0,254441.0
39,39,16.0,128.0,174413.0,493693.0
40,40,32.0,1.0,222582.0,37426.3
41,41,32.0,2.0,224414.0,45653.9
42,42,32.0,4.0,217139.0,58464.8
43,43,32.0,8.0,233254.0,87721.0
44,44,32.0,16.0,219496.0,149299.0
45,45,32.0,32.0,219018.0,278434.0
46,46,32.0,64.0,219722.0,529559.0
47,47,32.0,128.0,226610.0,1013320.0
48,48,64.0,1.0,265814.0,53281.4
49,49,64.0,2.0,272703.0,62482.6
50,50,64.0,4.0,276849.0,83054.2
51,51,64.0,8.0,285562.0,136119.0
52,52,64.0,16.0,279084.0,225373.0
53,53,64.0,32.0,261634.0,378411.0
54,54,64.0,64.0,288265.0,763525.0
55,55,64.0,128.0,296190.0,1370600.0
