,index,threads,nrhs,time1,time2
0,0,1.0,1.0,746842.0,31769.0
1,1,1.0,2.0,751379.0,43039.0
2,2,1.0,4.0,749580.0,53089.0
3,3,1.0,8.0,745998.0,84183.0
4,4,1.0,16.0,756647.0,146877.0
5,5,1.0,32.0,752343.0,278403.0
6,6,1.0,64.0,753332.0,523869.0
7,7,1.0,128.0,753796.0,1010500.0
8,8,2.0,1.0,772650.0,32834.0
9,9,2.0,2.0,768621.0,43951.0
10,10,2.0,4.0,772112.0,54952.0
11,11,2.0,8.0,769363.0,87212.0
12,12,2.0,16.0,773540.0,152746.0
13,13,2.0,32.0,766987.0,290490.0
14,14,2.0,64.0,772764.0,541927.0
15,15,2.0,128.0,766536.0,1047990.0
16,16,4.0,1.0,848243.0,33486.0
17,17,4.0,2.0,849125.0,45100.0
18,18,4.0,4.0,847294.0,56259.0
19,19,4.0,8.0,851906.0,89269.0
20,20,4.0,16.0,848660.0,156157.0
21,21,4.0,32.0,848494.0,295040.0
22,22,4.0,64.0,847408.0,554134.0
23,23,4.0,128.0,849061.0,1086060.0
24,24,8.0,1.0,985088.0,34179.0
25,25,8.0,2.0,985656.0,46121.0
26,26,8.0,4.0,986979.0,58247.0
27,27,8.0,8.0,984333.0,92676.0
28,28,8.0,16.0,988579.0,162860.0
29,29,8.0,32.0,986645.0,306574.0
30,30,8.0,64.0,988157.0,584126.0
31,31,8.0,128.0,985667.0,1140360.0
32,32,16.0,1.0,1143970.0,36039.0
33,33,16.0,2.0,1142270.0,49158.0
34,34,16.0,4.0,1143510.0,64622.0
35,35,16.0,8.0,1143990.0,105104.0
36,36,16.0,16.0,1143340.0,189386.0
37,37,16.0,32.0,1142350.0,355567.0
38,38,16.0,64.0,1145300.0,689420.0
39,39,16.0,128.0,1144260.0,1382420.0
40,40,32.0,1.0,1479850.0,42795.0
41,41,32.0,2.0,1481610.0,60134.0
42,42,32.0,4.0,1487480.0,92375.0
43,43,32.0,8.0,1480010.0,157410.0
44,44,32.0,16.0,1484690.0,311626.0
45,45,32.0,32.0,1477890.0,572511.0
46,46,32.0,64.0,1488900.0,1212660.0
47,47,32.0,128.0,1474790.0,2287150.0
48,48,64.0,1.0,2894860.0,82447.0
49,49,64.0,2.0,2878280.0,99860.0
50,50,64.0,4.0,2898750.0,167925.0
51,51,64.0,8.0,2877890.0,300395.0
52,52,64.0,16.0,2895900.0,597770.0
53,53,64.0,32.0,2883240.0,1115370.0
54,54,64.0,64.0,2896200.0,2300460.0
55,55,64.0,128.0,2895090.0,4786390.0
