,index,threads,nrhs,time1,time2
0,0,1.0,1.0,107249.0,12628.8
1,1,1.0,2.0,106190.0,15892.6
2,2,1.0,4.0,105507.0,17893.0
3,3,1.0,8.0,106478.0,26463.6
4,4,1.0,16.0,106346.0,43210.7
5,5,1.0,32.0,105933.0,78469.6
6,6,1.0,64.0,104862.0,147788.0
7,7,1.0,128.0,106104.0,300044.0
8,8,2.0,1.0,110081.0,13453.1
9,9,2.0,2.0,109705.0,17066.3
10,10,2.0,4.0,110113.0,19102.4
11,11,2.0,8.0,109568.0,28067.3
12,12,2.0,16.0,108756.0,44585.5
13,13,2.0,32.0,108771.0,80646.7
14,14,2.0,64.0,108996.0,152657.0
15,15,2.0,128.0,110073.0,308438.0
16,16,4.0,1.0,111740.0,14066.6
17,17,4.0,2.0,111788.0,17593.0
18,18,4.0,4.0,110976.0,19682.5
19,19,4.0,8.0,110626.0,28653.7
20,20,4.0,16.0,110542.0,45842.2
21,21,4.0,32.0,111876.0,83577.2
22,22,4.0,64.0,112184.0,157587.0
23,23,4.0,128.0,111983.0,315625.0
24,24,8.0,1.0,113655.0,14376.6
25,25,8.0,2.0,113493.0,17995.1
26,26,8.0,4.0,113984.0,20236.1
27,27,8.0,8.0,113363.0,29767.9
28,28,8.0,16.0,114293.0,48426.6
29,29,8.0,32.0,114359.0,86992.4
30,30,8.0,64.0,114048.0,164618.0
31,31,8.0,128.0,114408.0,330817.0
32,32,16.0,1.0,117848.0,15011.6
33,33,16.0,2.0,118460.0,18683.7
34,34,16.0,4.0,118540.0,21585.2
35,35,16.0,8.0,119218.0,32599.8
36,36,16.0,16.0,119354.0,53160.6
37,37,16.0,32.0,119100.0,97799.8
38,38,16.0,64.0,120551.0,187547.0
39,39,16.0,128.0,119304.0,377084.0
40,40,32.0,1.0,128253.0,17247.9
41,41,32.0,2.0,128739.0,21612.9
42,42,32.0,4.0,129862.0,27220.0
43,43,32.0,8.0,130096.0,43128.4
44,44,32.0,16.0,129753.0,72985.0
45,45,32.0,32.0,129636.0,138002.0
46,46,32.0,64.0,130519.0,275170.0
47,47,32.0,128.0,130303.0,573878.0
48,48,64.0,1.0,155724.0,31820.6
49,49,64.0,2.0,157599.0,37475.0
50,50,64.0,4.0,158998.0,54890.0
51,51,64.0,8.0,156759.0,79248.0
52,52,64.0,16.0,158913.0,134738.0
53,53,64.0,32.0,156942.0,258613.0
54,54,64.0,64.0,159194.0,515450.0
55,55,64.0,128.0,159114.0,1101300.0
