,index,threads,nrhs,time1,time2
0,0,1.0,1.0,485759.0,24632.0
1,1,1.0,2.0,476326.0,30076.0
2,2,1.0,4.0,480779.0,39370.0
3,3,1.0,8.0,478584.0,62748.0
4,4,1.0,16.0,481187.0,109176.0
5,5,1.0,32.0,480831.0,204191.0
6,6,1.0,64.0,483646.0,427120.0
7,7,1.0,128.0,478528.0,871102.0
8,8,2.0,1.0,491381.0,26084.0
9,9,2.0,2.0,499189.0,32269.0
10,10,2.0,4.0,497545.0,41771.0
11,11,2.0,8.0,491414.0,67006.0
12,12,2.0,16.0,493842.0,115050.0
13,13,2.0,32.0,492517.0,215342.0
14,14,2.0,64.0,495407.0,445257.0
15,15,2.0,128.0,492837.0,908340.0
16,16,4.0,1.0,526398.0,27277.0
17,17,4.0,2.0,537354.0,34396.0
18,18,4.0,4.0,547389.0,44854.0
19,19,4.0,8.0,523058.0,71358.0
20,20,4.0,16.0,528653.0,122843.0
21,21,4.0,32.0,537967.0,230222.0
22,22,4.0,64.0,521300.0,471858.0
23,23,4.0,128.0,528350.0,962478.0
24,24,8.0,1.0,657633.0,29190.0
25,25,8.0,2.0,663975.0,36925.0
26,26,8.0,4.0,665158.0,49422.0
27,27,8.0,8.0,663364.0,79468.0
28,28,8.0,16.0,661223.0,137793.0
29,29,8.0,32.0,658528.0,257781.0
30,30,8.0,64.0,710080.0,526478.0
31,31,8.0,128.0,654922.0,1063800.0
32,32,16.0,1.0,905235.0,32910.0
33,33,16.0,2.0,908106.0,42575.0
34,34,16.0,4.0,900640.0,59257.0
35,35,16.0,8.0,902384.0,98649.0
36,36,16.0,16.0,909520.0,174526.0
37,37,16.0,32.0,903485.0,326751.0
38,38,16.0,64.0,903776.0,651547.0
39,39,16.0,128.0,905052.0,1291490.0
40,40,32.0,1.0,1359040.0,43306.0
41,41,32.0,2.0,1352860.0,58636.0
42,42,32.0,4.0,1358410.0,86945.0
43,43,32.0,8.0,1358330.0,150814.0
44,44,32.0,16.0,1358220.0,280285.0
45,45,32.0,32.0,1356520.0,518711.0
46,46,32.0,64.0,1352790.0,1034010.0
47,47,32.0,128.0,1348770.0,2068350.0
48,48,64.0,1.0,2758720.0,77476.0
49,49,64.0,2.0,2750780.0,104964.0
50,50,64.0,4.0,2756310.0,157527.0
51,51,64.0,8.0,2762310.0,270543.0
52,52,64.0,16.0,2765120.0,496600.0
53,53,64.0,32.0,2754900.0,951508.0
54,54,64.0,64.0,2755510.0,1891000.0
55,55,64.0,128.0,2757060.0,3865720.0
