,index,threads,nrhs,time1,time2
0,0,1.0,1.0,9581.2,2280.3
1,1,1.0,2.0,9634.03,2700.57
2,2,1.0,4.0,9608.43,3025.27
3,3,1.0,8.0,9596.67,4320.67
4,4,1.0,16.0,9675.47,6997.3
5,5,1.0,32.0,10018.7,15647.0
6,6,1.0,64.0,10337.8,43261.9
7,7,1.0,128.0,10443.4,110887.0
8,8,2.0,1.0,9672.7,2288.07
9,9,2.0,2.0,9765.97,2753.0
10,10,2.0,4.0,9761.7,3180.77
11,11,2.0,8.0,9887.13,4814.17
12,12,2.0,16.0,10132.5,9086.3
13,13,2.0,32.0,10313.2,19245.1
14,14,2.0,64.0,10739.3,48949.8
15,15,2.0,128.0,10702.1,119476.0
16,16,4.0,1.0,10247.6,2504.6
17,17,4.0,2.0,10498.3,2923.37
18,18,4.0,4.0,10668.4,3652.3
19,19,4.0,8.0,10800.7,5937.07
20,20,4.0,16.0,11115.3,11163.5
21,21,4.0,32.0,11356.0,23115.8
22,22,4.0,64.0,11327.2,54880.5
23,23,4.0,128.0,11543.7,129371.0
24,24,8.0,1.0,12912.0,2777.4
25,25,8.0,2.0,12091.7,3273.6
26,26,8.0,4.0,13487.9,4380.2
27,27,8.0,8.0,13539.8,7329.6
28,28,8.0,16.0,13453.1,14132.0
29,29,8.0,32.0,13707.1,29326.9
30,30,8.0,64.0,13432.2,65121.2
31,31,8.0,128.0,13861.0,147207.0
32,32,16.0,1.0,16990.4,3183.57
33,33,16.0,2.0,17739.2,3867.13
34,34,16.0,4.0,17724.9,5629.17
35,35,16.0,8.0,17417.9,10475.0
36,36,16.0,16.0,17513.6,21181.7
37,37,16.0,32.0,18262.7,42825.9
38,38,16.0,64.0,17156.2,88794.4
39,39,16.0,128.0,18550.8,186825.0
40,40,32.0,1.0,28849.8,4802.7
41,41,32.0,2.0,26400.5,5760.33
42,42,32.0,4.0,31549.4,11193.0
43,43,32.0,8.0,30907.6,19447.9
44,44,32.0,16.0,31005.2,41460.0
45,45,32.0,32.0,28056.8,76317.0
46,46,32.0,64.0,28610.5,147680.0
47,47,32.0,128.0,27306.7,294755.0
48,48,64.0,1.0,50124.1,7774.8
49,49,64.0,2.0,54568.1,11582.8
50,50,64.0,4.0,53711.9,20809.3
51,51,64.0,8.0,52800.6,40254.8
52,52,64.0,16.0,55891.1,75814.2
53,53,64.0,32.0,53979.2,146324.0
54,54,64.0,64.0,52577.6,286644.0
55,55,64.0,128.0,56597.8,564524.0
