,index,threads,nrhs,time1,time2
0,0,1.0,1.0,70500.1,11650.5
1,1,1.0,2.0,70509.9,12371.0
2,2,1.0,4.0,70966.3,13011.2
3,3,1.0,8.0,71492.5,18394.6
4,4,1.0,16.0,71742.1,32263.0
5,5,1.0,32.0,72538.0,61022.3
6,6,1.0,64.0,72202.8,118872.0
7,7,1.0,128.0,73237.0,241793.0
8,8,2.0,1.0,72975.6,12649.2
9,9,2.0,2.0,72944.5,13542.8
10,10,2.0,4.0,73376.4,14862.7
11,11,2.0,8.0,73628.3,21023.6
12,12,2.0,16.0,73751.8,34437.5
13,13,2.0,32.0,73739.8,64443.9
14,14,2.0,64.0,75111.2,125740.0
15,15,2.0,128.0,74864.2,249599.0
16,16,4.0,1.0,76753.7,13415.4
17,17,4.0,2.0,76396.4,14544.6
18,18,4.0,4.0,75447.4,16061.4
19,19,4.0,8.0,76253.6,22724.2
20,20,4.0,16.0,76422.1,36815.1
21,21,4.0,32.0,77488.6,69563.2
22,22,4.0,64.0,76753.0,132056.0
23,23,4.0,128.0,77264.8,260453.0
24,24,8.0,1.0,79513.2,14264.5
25,25,8.0,2.0,79798.7,15557.2
26,26,8.0,4.0,79785.4,17784.9
27,27,8.0,8.0,79671.9,25150.5
28,28,8.0,16.0,81521.6,41561.2
29,29,8.0,32.0,80773.4,75725.6
30,30,8.0,64.0,80837.8,145511.0
31,31,8.0,128.0,80716.2,287124.0
32,32,16.0,1.0,85572.0,15711.7
33,33,16.0,2.0,85144.6,17557.4
34,34,16.0,4.0,85924.6,21224.4
35,35,16.0,8.0,87228.0,30927.2
36,36,16.0,16.0,87418.2,50250.0
37,37,16.0,32.0,86572.2,91217.2
38,38,16.0,64.0,86408.8,174524.0
39,39,16.0,128.0,87274.8,343836.0
40,40,32.0,1.0,109307.0,21441.1
41,41,32.0,2.0,111446.0,25206.8
42,42,32.0,4.0,133171.0,33923.4
43,43,32.0,8.0,132686.0,51590.0
44,44,32.0,16.0,115252.0,75836.6
45,45,32.0,32.0,108166.0,135746.0
46,46,32.0,64.0,107324.0,260211.0
47,47,32.0,128.0,113024.0,521005.0
48,48,64.0,1.0,169927.0,34371.0
49,49,64.0,2.0,179854.0,42533.2
50,50,64.0,4.0,172230.0,54476.8
51,51,64.0,8.0,171575.0,79891.0
52,52,64.0,16.0,171613.0,142661.0
53,53,64.0,32.0,172470.0,252913.0
54,54,64.0,64.0,177899.0,498071.0
55,55,64.0,128.0,176636.0,1024990.0
