,index,threads,nrhs,time1,time2
0,0,1.0,1.0,881.95,152.59
1,1,1.0,2.0,901.27,169.08
2,2,1.0,4.0,882.59,158.8
3,3,1.0,8.0,908.75,223.13
4,4,1.0,16.0,918.83,361.15
5,5,1.0,32.0,901.3,677.3
6,6,1.0,64.0,900.47,1440.24
7,7,1.0,128.0,899.0,2889.1
8,8,2.0,1.0,916.17,155.74
9,9,2.0,2.0,924.76,169.59
10,10,2.0,4.0,919.2,159.95
11,11,2.0,8.0,915.88,220.5
12,12,2.0,16.0,934.33,359.12
13,13,2.0,32.0,924.96,668.25
14,14,2.0,64.0,935.1,1532.7
15,15,2.0,128.0,927.0,3039.2
16,16,4.0,1.0,964.93,162.35
17,17,4.0,2.0,959.87,176.67
18,18,4.0,4.0,956.59,167.73
19,19,4.0,8.0,963.36,225.24
20,20,4.0,16.0,963.67,365.58
21,21,4.0,32.0,968.7,704.5
22,22,4.0,64.0,988.6,1526.1
23,23,4.0,128.0,974.9,3139.4
24,24,8.0,1.0,1051.42,174.95
25,25,8.0,2.0,1049.23,189.47
26,26,8.0,4.0,1054.71,181.67
27,27,8.0,8.0,1054.87,242.49
28,28,8.0,16.0,1051.8,396.3
29,29,8.0,32.0,1045.4,735.8
30,30,8.0,64.0,1062.4,1606.5
31,31,8.0,128.0,1073.8,3562.2
32,32,16.0,1.0,1299.67,199.35
33,33,16.0,2.0,1275.63,215.29
34,34,16.0,4.0,1269.6,206.16
35,35,16.0,8.0,1262.6,279.4
36,36,16.0,16.0,1251.4,429.8
37,37,16.0,32.0,1280.5,870.2
38,38,16.0,64.0,1322.8,2009.0
39,39,16.0,128.0,1307.5,4584.0
40,40,32.0,1.0,1911.33,252.61
41,41,32.0,2.0,1882.92,265.4
42,42,32.0,4.0,1822.6,261.6
43,43,32.0,8.0,1814.4,335.6
44,44,32.0,16.0,1792.6,548.5
45,45,32.0,32.0,1843.5,1244.5
46,46,32.0,64.0,1871.1,3185.5
47,47,32.0,128.0,1781.6,7360.8
48,48,64.0,1.0,3133.86,357.73
49,49,64.0,2.0,3112.4,369.8
50,50,64.0,4.0,3127.1,369.9
51,51,64.0,8.0,3058.8,502.3
52,52,64.0,16.0,3166.5,1077.8
53,53,64.0,32.0,3219.4,2862.0
54,54,64.0,64.0,3065.0,6909.8
55,55,64.0,128.0,3017.8,15545.3
