,index,threads,nrhs,time1
0,0,1.0,1.0,26469.9
1,1,1.0,2.0,35267.8
2,2,1.0,4.0,48602.2
3,3,1.0,8.0,83199.0
4,4,1.0,16.0,125435.0
5,5,1.0,32.0,227848.0
6,6,1.0,64.0,414507.0
7,7,1.0,128.0,801847.0
8,8,2.0,1.0,31849.4
9,9,2.0,2.0,37072.1
10,10,2.0,4.0,52102.1
11,11,2.0,8.0,89562.8
12,12,2.0,16.0,130443.0
13,13,2.0,32.0,233213.0
14,14,2.0,64.0,428911.0
15,15,2.0,128.0,841464.0
16,16,3.0,1.0,34040.7
17,17,3.0,2.0,43646.3
18,18,3.0,4.0,56642.0
19,19,3.0,8.0,88425.9
20,20,3.0,16.0,133958.0
21,21,3.0,32.0,244076.0
22,22,3.0,64.0,454161.0
23,23,3.0,128.0,868761.0
24,24,4.0,1.0,34566.2
25,25,4.0,2.0,43473.0
26,26,4.0,4.0,55925.9
27,27,4.0,8.0,91862.9
28,28,4.0,16.0,136847.0
29,29,4.0,32.0,250933.0
30,30,4.0,64.0,473938.0
31,31,4.0,128.0,899074.0
32,32,5.0,1.0,35928.4
33,33,5.0,2.0,43644.6
34,34,5.0,4.0,55517.6
35,35,5.0,8.0,92878.5
36,36,5.0,16.0,144928.0
37,37,5.0,32.0,258125.0
38,38,5.0,64.0,484056.0
39,39,5.0,128.0,929570.0
40,40,6.0,1.0,35618.4
41,41,6.0,2.0,44061.4
42,42,6.0,4.0,57716.7
43,43,6.0,8.0,101260.0
44,44,6.0,16.0,150480.0
45,45,6.0,32.0,276242.0
46,46,6.0,64.0,514048.0
47,47,6.0,128.0,1003360.0
48,48,7.0,1.0,49983.1
49,49,7.0,2.0,62022.1
50,50,7.0,4.0,84418.8
51,51,7.0,8.0,139374.0
52,52,7.0,16.0,217601.0
53,53,7.0,32.0,362958.0
54,54,7.0,64.0,671346.0
55,55,7.0,128.0,1313630.0
