,index,threads,nrhs,time1
0,0,1.0,1.0,13450.4
1,1,1.0,2.0,15062.3
2,2,1.0,4.0,14497.8
3,3,1.0,8.0,17540.5
4,4,1.0,16.0,25769.1
5,5,1.0,32.0,42587.3
6,6,1.0,64.0,78924.3
7,7,1.0,128.0,158682.0
8,8,1.0,256.0,349757.0
9,9,2.0,1.0,14091.3
10,10,2.0,2.0,16104.4
11,11,2.0,4.0,17894.3
12,12,2.0,8.0,19020.6
13,13,2.0,16.0,29613.7
14,14,2.0,32.0,51991.9
15,15,2.0,64.0,90093.6
16,16,2.0,128.0,188356.0
17,17,2.0,256.0,382896.0
18,18,3.0,1.0,14217.2
19,19,3.0,2.0,16204.7
20,20,3.0,4.0,17261.1
21,21,3.0,8.0,21571.3
22,22,3.0,16.0,34137.6
23,23,3.0,32.0,62076.8
24,24,3.0,64.0,127958.0
25,25,3.0,128.0,227617.0
26,26,3.0,256.0,549350.0
27,27,4.0,1.0,14417.0
28,28,4.0,2.0,16895.4
29,29,4.0,4.0,18205.6
30,30,4.0,8.0,25222.8
31,31,4.0,16.0,40949.7
32,32,4.0,32.0,70507.8
33,33,4.0,64.0,135495.0
34,34,4.0,128.0,276394.0
35,35,4.0,256.0,649429.0
36,36,5.0,1.0,15413.0
37,37,5.0,2.0,17560.1
38,38,5.0,4.0,20441.3
39,39,5.0,8.0,28815.1
40,40,5.0,16.0,48262.6
41,41,5.0,32.0,91375.2
42,42,5.0,64.0,164096.0
43,43,5.0,128.0,337554.0
44,44,5.0,256.0,770938.0
45,45,6.0,1.0,15934.3
46,46,6.0,2.0,20078.6
47,47,6.0,4.0,24619.7
48,48,6.0,8.0,35095.6
49,49,6.0,16.0,57758.2
50,50,6.0,32.0,108509.0
51,51,6.0,64.0,209642.0
52,52,6.0,128.0,436175.0
53,53,6.0,256.0,864310.0
54,54,7.0,1.0,19351.5
55,55,7.0,2.0,23109.7
56,56,7.0,4.0,27541.2
57,57,7.0,8.0,40297.7
58,58,7.0,16.0,70042.1
59,59,7.0,32.0,117863.0
60,60,7.0,64.0,229302.0
61,61,7.0,128.0,486558.0
62,62,7.0,256.0,1034180.0
63,63,8.0,1.0,19230.9
64,64,8.0,2.0,25507.6
65,65,8.0,4.0,29744.7
66,66,8.0,8.0,45721.4
67,67,8.0,16.0,78820.3
68,68,8.0,32.0,142579.0
69,69,8.0,64.0,270807.0
70,70,8.0,128.0,554300.0
71,71,8.0,256.0,1218060.0
72,72,9.0,1.0,29927.0
73,73,9.0,2.0,34691.7
74,74,9.0,4.0,37972.4
75,75,9.0,8.0,59368.2
76,76,9.0,16.0,116967.0
77,77,9.0,32.0,173344.0
78,78,9.0,64.0,306820.0
79,79,9.0,128.0,661129.0
80,80,9.0,256.0,1396210.0
