,index,threads,nrhs,time1,time2
0,0,1.0,1.0,862.71,272.59
1,1,1.0,2.0,927.44,271.44
2,2,1.0,4.0,830.03,254.1
3,3,1.0,8.0,859.87,317.39
4,4,1.0,16.0,867.33,403.13
5,5,1.0,32.0,849.27,591.1
6,6,1.0,64.0,855.91,1318.11
7,7,1.0,128.0,851.39,2614.83
8,8,2.0,1.0,862.13,251.52
9,9,2.0,2.0,868.07,280.79
10,10,2.0,4.0,872.91,274.45
11,11,2.0,8.0,843.58,297.41
12,12,2.0,16.0,880.9,410.56
13,13,2.0,32.0,853.8,630.19
14,14,2.0,64.0,843.59,1411.65
15,15,2.0,128.0,856.39,3197.55
16,16,3.0,1.0,974.19,291.63
17,17,3.0,2.0,892.4,297.3
18,18,3.0,4.0,881.2,291.26
19,19,3.0,8.0,879.49,332.77
20,20,3.0,16.0,871.52,414.6
21,21,3.0,32.0,871.54,673.5
22,22,3.0,64.0,872.46,1778.41
23,23,3.0,128.0,873.19,4267.23
24,24,4.0,1.0,896.1,297.34
25,25,4.0,2.0,894.46,302.4
26,26,4.0,4.0,920.03,311.95
27,27,4.0,8.0,907.91,351.52
28,28,4.0,16.0,893.53,444.79
29,29,4.0,32.0,919.4,808.81
30,30,4.0,64.0,879.76,2314.7
31,31,4.0,128.0,894.65,5600.13
32,32,5.0,1.0,922.16,297.59
33,33,5.0,2.0,890.82,324.41
34,34,5.0,4.0,913.81,306.89
35,35,5.0,8.0,903.99,353.75
36,36,5.0,16.0,904.37,473.76
37,37,5.0,32.0,912.46,1137.2
38,38,5.0,64.0,914.82,2996.88
39,39,5.0,128.0,929.14,6991.4
40,40,6.0,1.0,906.84,311.33
41,41,6.0,2.0,915.63,328.41
42,42,6.0,4.0,929.49,316.55
43,43,6.0,8.0,927.97,365.97
44,44,6.0,16.0,924.05,552.07
45,45,6.0,32.0,959.71,1650.74
46,46,6.0,64.0,950.59,3696.7
47,47,6.0,128.0,913.37,8425.56
48,48,7.0,1.0,964.21,311.63
49,49,7.0,2.0,894.36,290.57
50,50,7.0,4.0,872.89,311.37
51,51,7.0,8.0,908.47,356.34
52,52,7.0,16.0,934.14,609.38
53,53,7.0,32.0,963.45,1899.65
54,54,7.0,64.0,934.23,4438.69
55,55,7.0,128.0,917.66,9947.18
56,56,8.0,1.0,1537.38,397.77
57,57,8.0,2.0,1519.28,421.01
58,58,8.0,4.0,1569.38,463.03
59,59,8.0,8.0,1573.54,559.6
60,60,8.0,16.0,1597.03,1085.9
61,61,8.0,32.0,1220.92,2469.89
62,62,8.0,64.0,1080.9,5470.76
63,63,8.0,128.0,1062.56,11708.8
64,64,9.0,1.0,1581.71,414.59
65,65,9.0,2.0,1600.07,444.99
66,66,9.0,4.0,1668.92,465.12
67,67,9.0,8.0,1597.44,585.8
68,68,9.0,16.0,1611.64,1185.76
69,69,9.0,32.0,1623.81,2749.62
70,70,9.0,64.0,1586.37,6288.08
71,71,9.0,128.0,1584.49,13843.9
