,index,threads,nrhs,time1
0,0,1.0,1.0,3848.3
1,1,1.0,2.0,3863.8
2,2,1.0,4.0,6067.2
3,3,1.0,8.0,10074.9
4,4,1.0,16.0,12754.0
5,5,1.0,32.0,31359.7
6,6,1.0,64.0,69316.6
7,7,1.0,128.0,137803.0
8,8,1.0,256.0,270433.0
9,9,2.0,1.0,3751.1
10,10,2.0,2.0,5190.7
11,11,2.0,4.0,5547.7
12,12,2.0,8.0,10252.3
13,13,2.0,16.0,16053.5
14,14,2.0,32.0,33120.4
15,15,2.0,64.0,73624.1
16,16,2.0,128.0,141213.0
17,17,2.0,256.0,279310.0
18,18,3.0,1.0,4375.6
19,19,3.0,2.0,4943.3
20,20,3.0,4.0,6426.5
21,21,3.0,8.0,10210.2
22,22,3.0,16.0,16606.2
23,23,3.0,32.0,35779.9
24,24,3.0,64.0,76083.2
25,25,3.0,128.0,143162.0
26,26,3.0,256.0,296977.0
27,27,4.0,1.0,4724.0
28,28,4.0,2.0,5011.7
29,29,4.0,4.0,6648.6
30,30,4.0,8.0,10954.1
31,31,4.0,16.0,17466.1
32,32,4.0,32.0,37053.5
33,33,4.0,64.0,79975.3
34,34,4.0,128.0,149463.0
35,35,4.0,256.0,303403.0
36,36,5.0,1.0,4398.6
37,37,5.0,2.0,6050.2
38,38,5.0,4.0,6945.7
39,39,5.0,8.0,11166.5
40,40,5.0,16.0,18649.6
41,41,5.0,32.0,39750.5
42,42,5.0,64.0,84066.1
43,43,5.0,128.0,157293.0
44,44,5.0,256.0,319899.0
45,45,6.0,1.0,4890.2
46,46,6.0,2.0,5851.3
47,47,6.0,4.0,7858.4
48,48,6.0,8.0,13586.0
49,49,6.0,16.0,21337.7
50,50,6.0,32.0,42361.0
51,51,6.0,64.0,89030.5
52,52,6.0,128.0,169478.0
53,53,6.0,256.0,339946.0
54,54,7.0,1.0,6372.8
55,55,7.0,2.0,7426.7
56,56,7.0,4.0,9875.0
57,57,7.0,8.0,17069.9
58,58,7.0,16.0,33476.1
59,59,7.0,32.0,65691.6
60,60,7.0,64.0,129131.0
61,61,7.0,128.0,246259.0
62,62,7.0,256.0,475576.0
