,index,threads,nrhs,time1
0,0,1.0,1.0,8869.6
1,1,1.0,2.0,10796.9
2,2,1.0,4.0,10872.7
3,3,1.0,8.0,14702.5
4,4,1.0,16.0,23821.0
5,5,1.0,32.0,44770.9
6,6,1.0,64.0,89363.3
7,7,2.0,1.0,9614.1
8,8,2.0,2.0,11578.5
9,9,2.0,4.0,11819.3
10,10,2.0,8.0,15761.8
11,11,2.0,16.0,24904.7
12,12,2.0,32.0,46146.0
13,13,2.0,64.0,112626.0
14,14,4.0,1.0,9957.8
15,15,4.0,2.0,11941.9
16,16,4.0,4.0,12372.8
17,17,4.0,8.0,16537.8
18,18,4.0,16.0,25521.4
19,19,4.0,32.0,57651.0
20,20,4.0,64.0,116428.0
21,21,8.0,1.0,10239.6
22,22,8.0,2.0,12230.1
23,23,8.0,4.0,12935.8
24,24,8.0,8.0,17354.1
25,25,8.0,16.0,32133.0
26,26,8.0,32.0,60156.0
27,27,8.0,64.0,121762.0
28,28,16.0,1.0,10715.2
29,29,16.0,2.0,12889.5
30,30,16.0,4.0,14198.9
31,31,16.0,8.0,22528.0
32,32,16.0,16.0,39408.0
33,33,16.0,32.0,74500.0
34,34,16.0,64.0,144309.0
35,35,32.0,1.0,12681.4
36,36,32.0,2.0,15412.6
37,37,32.0,4.0,21828.0
38,38,32.0,8.0,35077.0
39,39,32.0,16.0,66500.0
40,40,32.0,32.0,121376.0
41,41,32.0,64.0,243279.0
42,42,64.0,1.0,25029.0
43,43,64.0,2.0,32183.0
44,44,64.0,4.0,42965.0
45,45,64.0,8.0,67410.0
46,46,64.0,16.0,121995.0
47,47,64.0,32.0,228218.0
48,48,64.0,64.0,458251.0
