,index,threads,nrhs,time1
0,0,1.0,1.0,13484.9
1,1,1.0,2.0,17111.0
2,2,1.0,4.0,19099.7
3,3,1.0,8.0,28244.7
4,4,1.0,16.0,45684.3
5,5,1.0,32.0,82252.7
6,6,1.0,64.0,154559.0
7,7,2.0,1.0,14448.0
8,8,2.0,2.0,18141.7
9,9,2.0,4.0,20216.6
10,10,2.0,8.0,29402.6
11,11,2.0,16.0,46961.2
12,12,2.0,32.0,83656.6
13,13,2.0,64.0,181547.0
14,14,4.0,1.0,14963.4
15,15,4.0,2.0,18584.6
16,16,4.0,4.0,20804.9
17,17,4.0,8.0,30025.5
18,18,4.0,16.0,47844.9
19,19,4.0,32.0,117878.0
20,20,4.0,64.0,185456.0
21,21,8.0,1.0,15384.7
22,22,8.0,2.0,19111.1
23,23,8.0,4.0,21533.4
24,24,8.0,8.0,31310.6
25,25,8.0,16.0,56603.0
26,26,8.0,32.0,102917.0
27,27,8.0,64.0,217168.0
28,28,16.0,1.0,15952.4
29,29,16.0,2.0,19812.4
30,30,16.0,4.0,22773.7
31,31,16.0,8.0,37408.0
32,32,16.0,16.0,62200.0
33,33,16.0,32.0,116690.0
34,34,16.0,64.0,257095.0
35,35,32.0,1.0,18317.8
36,36,32.0,2.0,22520.0
37,37,32.0,4.0,30450.0
38,38,32.0,8.0,49262.0
39,39,32.0,16.0,89102.0
40,40,32.0,32.0,204753.0
41,41,32.0,64.0,416040.0
42,42,64.0,1.0,34630.0
43,43,64.0,2.0,38073.0
44,44,64.0,4.0,59089.0
45,45,64.0,8.0,96313.0
46,46,64.0,16.0,178679.0
47,47,64.0,32.0,375622.0
48,48,64.0,64.0,1004490.0
