,index,threads,nrhs,time1
0,0,1.0,1.0,13417.7
1,1,1.0,2.0,16456.2
2,2,1.0,4.0,21014.8
3,3,1.0,8.0,33610.5
4,4,1.0,16.0,44557.4
5,5,1.0,32.0,75718.4
6,6,1.0,64.0,143269.0
7,7,1.0,128.0,274437.0
8,8,1.0,256.0,565637.0
9,9,2.0,1.0,13038.3
10,10,2.0,2.0,15570.0
11,11,2.0,4.0,21258.8
12,12,2.0,8.0,34395.4
13,13,2.0,16.0,48027.7
14,14,2.0,32.0,79377.7
15,15,2.0,64.0,146916.0
16,16,2.0,128.0,282348.0
17,17,2.0,256.0,586262.0
18,18,3.0,1.0,14267.6
19,19,3.0,2.0,16817.3
20,20,3.0,4.0,21504.7
21,21,3.0,8.0,35939.2
22,22,3.0,16.0,46812.9
23,23,3.0,32.0,80383.4
24,24,3.0,64.0,149495.0
25,25,3.0,128.0,289802.0
26,26,3.0,256.0,593046.0
27,27,4.0,1.0,15667.7
28,28,4.0,2.0,16109.4
29,29,4.0,4.0,23133.3
30,30,4.0,8.0,36080.4
31,31,4.0,16.0,48606.0
32,32,4.0,32.0,80794.7
33,33,4.0,64.0,152808.0
34,34,4.0,128.0,297556.0
35,35,4.0,256.0,615777.0
36,36,5.0,1.0,16174.8
37,37,5.0,2.0,17662.6
38,38,5.0,4.0,23594.6
39,39,5.0,8.0,37216.2
40,40,5.0,16.0,49208.1
41,41,5.0,32.0,83290.0
42,42,5.0,64.0,157307.0
43,43,5.0,128.0,311008.0
44,44,5.0,256.0,633674.0
45,45,6.0,1.0,15777.0
46,46,6.0,2.0,18193.0
47,47,6.0,4.0,24423.3
48,48,6.0,8.0,39649.0
49,49,6.0,16.0,53015.1
50,50,6.0,32.0,86348.2
51,51,6.0,64.0,163547.0
52,52,6.0,128.0,319671.0
53,53,6.0,256.0,668444.0
54,54,7.0,1.0,30854.1
55,55,7.0,2.0,35485.6
56,56,7.0,4.0,41098.8
57,57,7.0,8.0,56835.3
58,58,7.0,16.0,77741.6
59,59,7.0,32.0,128310.0
60,60,7.0,64.0,239741.0
61,61,7.0,128.0,454179.0
62,62,7.0,256.0,930360.0
