,index,threads,nrhs,time1
0,0,1.0,1.0,20861.1
1,1,1.0,2.0,22710.4
2,2,1.0,4.0,22550.8
3,3,1.0,8.0,26545.4
4,4,1.0,16.0,37514.1
5,5,1.0,32.0,71236.6
6,6,1.0,64.0,98952.9
7,7,1.0,128.0,179322.0
8,8,1.0,256.0,359111.0
9,9,2.0,1.0,21196.8
10,10,2.0,2.0,23258.2
11,11,2.0,4.0,23143.4
12,12,2.0,8.0,27913.0
13,13,2.0,16.0,40199.1
14,14,2.0,32.0,77582.2
15,15,2.0,64.0,107887.0
16,16,2.0,128.0,198928.0
17,17,2.0,256.0,396841.0
18,18,3.0,1.0,25910.6
19,19,3.0,2.0,28851.3
20,20,3.0,4.0,29545.5
21,21,3.0,8.0,38120.7
22,22,3.0,16.0,65675.2
23,23,3.0,32.0,86683.8
24,24,3.0,64.0,149875.0
25,25,3.0,128.0,281986.0
26,26,3.0,256.0,591784.0
27,27,4.0,1.0,27466.3
28,28,4.0,2.0,30171.1
29,29,4.0,4.0,35509.7
30,30,4.0,8.0,39079.8
31,31,4.0,16.0,58382.2
32,32,4.0,32.0,94607.9
33,33,4.0,64.0,172440.0
34,34,4.0,128.0,341300.0
35,35,4.0,256.0,795286.0
36,36,5.0,1.0,38554.1
37,37,5.0,2.0,43067.8
38,38,5.0,4.0,45133.9
39,39,5.0,8.0,56060.1
40,40,5.0,16.0,79728.8
41,41,5.0,32.0,125581.0
42,42,5.0,64.0,237162.0
43,43,5.0,128.0,430986.0
44,44,5.0,256.0,944278.0
