,index,threads,nrhs,time1
0,0,1.0,1.0,14664.9
1,1,1.0,2.0,18105.1
2,2,1.0,4.0,19893.9
3,3,1.0,8.0,28832.9
4,4,1.0,16.0,46679.2
5,5,1.0,32.0,82920.8
6,6,1.0,64.0,155889.0
7,7,1.0,128.0,308035.0
8,8,1.0,256.0,633972.0
9,9,2.0,1.0,14824.3
10,10,2.0,2.0,18434.1
11,11,2.0,4.0,20413.4
12,12,2.0,8.0,29806.9
13,13,2.0,16.0,47155.5
14,14,2.0,32.0,83884.6
15,15,2.0,64.0,157860.0
16,16,2.0,128.0,310720.0
17,17,2.0,256.0,646866.0
18,18,3.0,1.0,14959.0
19,19,3.0,2.0,18685.4
20,20,3.0,4.0,20705.9
21,21,3.0,8.0,30051.2
22,22,3.0,16.0,47874.5
23,23,3.0,32.0,84783.6
24,24,3.0,64.0,158918.0
25,25,3.0,128.0,314259.0
26,26,3.0,256.0,655351.0
27,27,4.0,1.0,16980.4
28,28,4.0,2.0,19909.4
29,29,4.0,4.0,23710.7
30,30,4.0,8.0,31938.1
31,31,4.0,16.0,50680.9
32,32,4.0,32.0,87407.3
33,33,4.0,64.0,161882.0
34,34,4.0,128.0,319792.0
35,35,4.0,256.0,661808.0
36,36,5.0,1.0,25279.7
37,37,5.0,2.0,29014.1
38,38,5.0,4.0,32119.9
39,39,5.0,8.0,47640.5
40,40,5.0,16.0,71876.1
41,41,5.0,32.0,131088.0
42,42,5.0,64.0,240554.0
43,43,5.0,128.0,438423.0
44,44,5.0,256.0,869118.0
