,index,threads,nrhs,time1
0,0,1.0,1.0,13287.1
1,1,1.0,2.0,14429.0
2,2,1.0,4.0,15679.0
3,3,1.0,8.0,21363.6
4,4,1.0,16.0,36539.0
5,5,1.0,32.0,66659.2
6,6,1.0,64.0,127763.0
7,7,1.0,128.0,253551.0
8,8,1.0,256.0,526018.0
9,9,2.0,1.0,13778.7
10,10,2.0,2.0,14791.3
11,11,2.0,4.0,16321.2
12,12,2.0,8.0,22683.6
13,13,2.0,16.0,37869.9
14,14,2.0,32.0,68333.3
15,15,2.0,64.0,131213.0
16,16,2.0,128.0,259552.0
17,17,2.0,256.0,539154.0
18,18,3.0,1.0,22212.4
19,19,3.0,2.0,24388.5
20,20,3.0,4.0,26814.8
21,21,3.0,8.0,36969.6
22,22,3.0,16.0,57401.7
23,23,3.0,32.0,98370.1
24,24,3.0,64.0,185676.0
25,25,3.0,128.0,372768.0
26,26,3.0,256.0,801927.0
27,27,4.0,1.0,23191.1
28,28,4.0,2.0,25067.4
29,29,4.0,4.0,26897.5
30,30,4.0,8.0,37520.3
31,31,4.0,16.0,59898.2
32,32,4.0,32.0,105460.0
33,33,4.0,64.0,203752.0
34,34,4.0,128.0,429676.0
35,35,4.0,256.0,990347.0
36,36,5.0,1.0,33183.2
37,37,5.0,2.0,36163.8
38,38,5.0,4.0,39098.5
39,39,5.0,8.0,54061.7
40,40,5.0,16.0,83174.4
41,41,5.0,32.0,142241.0
42,42,5.0,64.0,268191.0
43,43,5.0,128.0,552076.0
44,44,5.0,256.0,1246940.0
