,index,threads,nrhs,time1,time2
0,0,1.0,1.0,64474.0,11690.4
1,1,1.0,2.0,64020.3,12179.9
2,2,1.0,4.0,64745.6,13367.9
3,3,1.0,8.0,64722.0,16400.4
4,4,1.0,16.0,65013.4,24108.7
5,5,1.0,32.0,64225.3,40832.9
6,6,1.0,64.0,66180.5,78239.9
7,7,1.0,128.0,66435.5,157051.0
8,8,2.0,1.0,65877.5,12030.4
9,9,2.0,2.0,67444.4,13103.2
10,10,2.0,4.0,67161.4,14149.7
11,11,2.0,8.0,66153.4,18161.7
12,12,2.0,16.0,66705.3,27083.4
13,13,2.0,32.0,67554.4,49013.1
14,14,2.0,64.0,67280.2,89135.2
15,15,2.0,128.0,67082.8,179436.0
16,16,3.0,1.0,67879.8,12380.3
17,17,3.0,2.0,68911.2,13449.1
18,18,3.0,4.0,68742.3,15311.1
19,19,3.0,8.0,68020.9,20281.8
20,20,3.0,16.0,68320.2,31843.1
21,21,3.0,32.0,74817.1,68228.6
22,22,3.0,64.0,67585.7,108914.0
23,23,3.0,128.0,68395.0,209487.0
24,24,4.0,1.0,69668.0,12715.2
25,25,4.0,2.0,85207.0,17754.3
26,26,4.0,4.0,73545.5,17497.8
27,27,4.0,8.0,71238.5,24076.4
28,28,4.0,16.0,70399.7,37571.9
29,29,4.0,32.0,71024.8,69642.8
30,30,4.0,64.0,72717.0,145255.0
31,31,4.0,128.0,69905.1,263405.0
32,32,5.0,1.0,72190.9,13237.2
33,33,5.0,2.0,74181.7,15666.4
34,34,5.0,4.0,73575.6,19019.4
35,35,5.0,8.0,82624.4,32982.4
36,36,5.0,16.0,72829.3,45049.2
37,37,5.0,32.0,72390.4,81904.3
38,38,5.0,64.0,73043.8,158592.0
39,39,5.0,128.0,73431.0,337785.0
40,40,6.0,1.0,79307.0,15475.8
41,41,6.0,2.0,75783.4,16388.2
42,42,6.0,4.0,82901.8,22529.2
43,43,6.0,8.0,79267.7,31245.9
44,44,6.0,16.0,75843.1,53218.7
45,45,6.0,32.0,76130.2,98117.2
46,46,6.0,64.0,81805.5,202414.0
47,47,6.0,128.0,77203.8,391296.0
48,48,7.0,1.0,80237.4,15734.6
49,49,7.0,2.0,106471.0,23545.0
50,50,7.0,4.0,111731.0,29482.1
51,51,7.0,8.0,102174.0,41162.9
52,52,7.0,16.0,81747.5,62484.5
53,53,7.0,32.0,81805.7,115824.0
54,54,7.0,64.0,80410.8,225863.0
55,55,7.0,128.0,87107.1,483952.0
56,56,8.0,1.0,116514.0,22577.2
57,57,8.0,2.0,119528.0,25503.4
58,58,8.0,4.0,108775.0,31119.1
59,59,8.0,8.0,127710.0,46329.6
60,60,8.0,16.0,107091.0,78806.5
61,61,8.0,32.0,87365.9,132728.0
62,62,8.0,64.0,86140.7,259614.0
63,63,8.0,128.0,86806.0,534084.0
64,64,9.0,1.0,124148.0,27631.8
65,65,9.0,2.0,151667.0,32713.8
66,66,9.0,4.0,144401.0,38827.0
67,67,9.0,8.0,143963.0,53158.4
68,68,9.0,16.0,126891.0,85965.5
69,69,9.0,32.0,119358.0,155737.0
70,70,9.0,64.0,118686.0,300783.0
71,71,9.0,128.0,122563.0,625324.0
