,index,threads,nrhs,time1
0,0,1.0,1.0,13121.9
1,1,1.0,2.0,15271.4
2,2,1.0,4.0,16132.5
3,3,1.0,8.0,21868.0
4,4,1.0,16.0,35120.5
5,5,1.0,32.0,59865.8
6,6,1.0,64.0,111777.0
7,7,1.0,128.0,216918.0
8,8,1.0,256.0,458234.0
9,9,2.0,1.0,14836.2
10,10,2.0,2.0,17279.9
11,11,2.0,4.0,20898.7
12,12,2.0,8.0,27327.1
13,13,2.0,16.0,41887.2
14,14,2.0,32.0,70095.1
15,15,2.0,64.0,129309.0
16,16,2.0,128.0,255212.0
17,17,2.0,256.0,544244.0
18,18,3.0,1.0,16965.1
19,19,3.0,2.0,24644.9
20,20,3.0,4.0,21079.6
21,21,3.0,8.0,32403.5
22,22,3.0,16.0,48662.5
23,23,3.0,32.0,82085.8
24,24,3.0,64.0,153172.0
25,25,3.0,128.0,303761.0
26,26,3.0,256.0,641746.0
27,27,4.0,1.0,20290.0
28,28,4.0,2.0,24492.7
29,29,4.0,4.0,26085.9
30,30,4.0,8.0,33253.5
31,31,4.0,16.0,53487.0
32,32,4.0,32.0,95980.6
33,33,4.0,64.0,179167.0
34,34,4.0,128.0,359796.0
35,35,4.0,256.0,756511.0
36,36,5.0,1.0,19123.2
37,37,5.0,2.0,24363.1
38,38,5.0,4.0,27804.8
39,39,5.0,8.0,38020.9
40,40,5.0,16.0,61735.5
41,41,5.0,32.0,110034.0
42,42,5.0,64.0,208921.0
43,43,5.0,128.0,417968.0
44,44,5.0,256.0,872203.0
