,index,threads,nrhs,time1
0,0,1.0,1.0,15389.0
1,1,1.0,2.0,17732.7
2,2,1.0,4.0,19613.1
3,3,1.0,8.0,26330.0
4,4,1.0,16.0,43892.6
5,5,1.0,32.0,78746.2
6,6,1.0,64.0,147345.0
7,7,1.0,128.0,285017.0
8,8,1.0,256.0,595317.0
9,9,2.0,1.0,31154.0
10,10,2.0,2.0,33277.2
11,11,2.0,4.0,34244.2
12,12,2.0,8.0,46217.3
13,13,2.0,16.0,60216.8
14,14,2.0,32.0,104355.0
15,15,2.0,64.0,194195.0
16,16,2.0,128.0,375260.0
17,17,2.0,256.0,782195.0
18,18,3.0,1.0,31891.0
19,19,3.0,2.0,34650.1
20,20,3.0,4.0,33763.6
21,21,3.0,8.0,44413.3
22,22,3.0,16.0,62003.2
23,23,3.0,32.0,101602.0
24,24,3.0,64.0,188159.0
25,25,3.0,128.0,382712.0
26,26,3.0,256.0,803647.0
27,27,4.0,1.0,32122.8
28,28,4.0,2.0,35003.3
29,29,4.0,4.0,35929.0
30,30,4.0,8.0,43670.6
31,31,4.0,16.0,69053.1
32,32,4.0,32.0,119266.0
33,33,4.0,64.0,225193.0
34,34,4.0,128.0,412427.0
35,35,4.0,256.0,1049310.0
36,36,5.0,1.0,31028.0
37,37,5.0,2.0,33794.8
38,38,5.0,4.0,36220.9
39,39,5.0,8.0,46483.2
40,40,5.0,16.0,71760.1
41,41,5.0,32.0,126954.0
42,42,5.0,64.0,251961.0
43,43,5.0,128.0,498895.0
44,44,5.0,256.0,1097480.0
