,index,threads,nrhs,time1
0,0,1.0,1.0,12871.8
1,1,1.0,2.0,14744.1
2,2,1.0,4.0,17617.7
3,3,1.0,8.0,25545.8
4,4,1.0,16.0,42880.8
5,5,1.0,32.0,76084.5
6,6,1.0,64.0,146198.0
7,7,1.0,128.0,281150.0
8,8,1.0,256.0,589052.0
9,9,2.0,1.0,13494.8
10,10,2.0,2.0,15519.8
11,11,2.0,4.0,18689.0
12,12,2.0,8.0,26984.1
13,13,2.0,16.0,44906.0
14,14,2.0,32.0,78499.1
15,15,2.0,64.0,149922.0
16,16,2.0,128.0,290216.0
17,17,2.0,256.0,605971.0
18,18,3.0,1.0,20381.0
19,19,3.0,2.0,24453.8
20,20,3.0,4.0,29312.7
21,21,3.0,8.0,40582.4
22,22,3.0,16.0,66162.4
23,23,3.0,32.0,112299.0
24,24,3.0,64.0,211549.0
25,25,3.0,128.0,414072.0
26,26,3.0,256.0,893462.0
27,27,4.0,1.0,21639.2
28,28,4.0,2.0,25329.8
29,29,4.0,4.0,29672.8
30,30,4.0,8.0,41178.5
31,31,4.0,16.0,69396.5
32,32,4.0,32.0,121764.0
33,33,4.0,64.0,231657.0
34,34,4.0,128.0,481224.0
35,35,4.0,256.0,1084750.0
36,36,5.0,1.0,29091.0
37,37,5.0,2.0,36166.9
38,38,5.0,4.0,-2.0
39,39,5.0,8.0,59331.4
40,40,5.0,16.0,95760.3
41,41,5.0,32.0,166611.0
42,42,5.0,64.0,309855.0
43,43,5.0,128.0,619094.0
44,44,5.0,256.0,-2.0
