,index,threads,nrhs,time1
0,0,1.0,1.0,13400.9
1,1,1.0,2.0,14564.6
2,2,1.0,4.0,15442.2
3,3,1.0,8.0,21572.2
4,4,1.0,16.0,36572.0
5,5,1.0,32.0,65460.2
6,6,1.0,64.0,126257.0
7,7,1.0,128.0,249370.0
8,8,1.0,256.0,513354.0
9,9,2.0,1.0,13868.9
10,10,2.0,2.0,14670.4
11,11,2.0,4.0,16471.9
12,12,2.0,8.0,22081.2
13,13,2.0,16.0,37768.6
14,14,2.0,32.0,68480.6
15,15,2.0,64.0,130245.0
16,16,2.0,128.0,255356.0
17,17,2.0,256.0,540968.0
18,18,3.0,1.0,22285.9
19,19,3.0,2.0,24432.1
20,20,3.0,4.0,26463.1
21,21,3.0,8.0,36464.1
22,22,3.0,16.0,56938.1
23,23,3.0,32.0,97990.9
24,24,3.0,64.0,182246.0
25,25,3.0,128.0,364181.0
26,26,3.0,256.0,786739.0
27,27,4.0,1.0,22974.2
28,28,4.0,2.0,25177.8
29,29,4.0,4.0,27337.4
30,30,4.0,8.0,37316.4
31,31,4.0,16.0,59448.6
32,32,4.0,32.0,103648.0
33,33,4.0,64.0,199137.0
34,34,4.0,128.0,421931.0
35,35,4.0,256.0,972060.0
36,36,5.0,1.0,32678.2
37,37,5.0,2.0,35734.7
38,38,5.0,4.0,38347.7
39,39,5.0,8.0,53735.6
40,40,5.0,16.0,82112.9
41,41,5.0,32.0,141697.0
42,42,5.0,64.0,265544.0
43,43,5.0,128.0,546583.0
44,44,5.0,256.0,1220750.0
