,index,threads,nrhs,time1
0,0,1.0,1.0,12529.1
1,1,1.0,2.0,14390.5
2,2,1.0,4.0,17406.6
3,3,1.0,8.0,25280.4
4,4,1.0,16.0,43175.2
5,5,1.0,32.0,76746.2
6,6,1.0,64.0,149288.0
7,7,1.0,128.0,284563.0
8,8,1.0,256.0,604209.0
9,9,2.0,1.0,13247.6
10,10,2.0,2.0,15353.1
11,11,2.0,4.0,18571.4
12,12,2.0,8.0,27158.6
13,13,2.0,16.0,45230.6
14,14,2.0,32.0,80189.4
15,15,2.0,64.0,153749.0
16,16,2.0,128.0,297896.0
17,17,2.0,256.0,628724.0
18,18,3.0,1.0,13592.6
19,19,3.0,2.0,15697.6
20,20,3.0,4.0,19174.5
21,21,3.0,8.0,28465.7
22,22,3.0,16.0,46311.9
23,23,3.0,32.0,81797.5
24,24,3.0,64.0,156354.0
25,25,3.0,128.0,303479.0
26,26,3.0,256.0,642233.0
27,27,4.0,1.0,13748.3
28,28,4.0,2.0,15988.4
29,29,4.0,4.0,19559.5
30,30,4.0,8.0,28989.0
31,31,4.0,16.0,47425.3
32,32,4.0,32.0,83230.4
33,33,4.0,64.0,158992.0
34,34,4.0,128.0,308959.0
35,35,4.0,256.0,661478.0
36,36,5.0,1.0,20534.7
37,37,5.0,2.0,24846.8
38,38,5.0,4.0,29866.6
39,39,5.0,8.0,41813.9
40,40,5.0,16.0,69580.6
41,41,5.0,32.0,119170.0
42,42,5.0,64.0,221602.0
43,43,5.0,128.0,435847.0
44,44,5.0,256.0,929851.0
