loopIndex,threadIndex,beginTime,endTime
0,0,0,512
0,1,32,551
0,2,34,571
0,3,45,622
0,4,61,637
0,5,64,622
1,0,0,519
1,1,9,526
1,2,41,620
1,3,56,604
1,4,57,620
1,5,77,611
2,0,0,462
2,1,7,458
2,2,16,476
2,3,45,502
2,4,66,494
2,5,80,553
3,0,0,573
3,1,30,674
3,2,43,748
3,3,45,722
3,4,61,725
3,5,63,693
4,0,0,657
4,1,17,739
4,2,21,882
4,3,36,771
4,4,40,776
4,5,52,779
5,0,0,594
5,1,12,598
5,2,56,670
5,3,60,1677
5,4,60,663
5,5,75,894
6,0,0,610
6,1,11,593
6,2,42,692
6,3,57,693
6,4,58,699
6,5,76,699
7,0,0,576
7,1,8,542
7,2,14,553
7,3,50,601
7,4,63,587
7,5,80,595
8,0,0,391
8,1,11,407
8,2,21,422
8,3,49,460
8,4,61,476
8,5,78,465
9,0,0,420
9,1,11,443
9,2,18,457
9,3,48,479
9,4,65,477
9,5,79,534
10,0,0,425
10,1,8,445
10,2,55,512
10,3,68,539
10,4,82,803
10,5,120,572
11,0,0,623
11,1,40,714
11,2,41,714
11,3,56,734
11,4,73,891
11,5,361,925
12,0,0,596
12,1,20,630
12,2,23,655
12,3,39,691
12,4,41,806
12,5,63,675
13,0,0,421
13,1,13,449
13,2,21,468
13,3,49,491
13,4,71,501
13,5,82,506
14,0,0,403
14,1,8,397
14,2,16,429
14,3,47,453
14,4,61,448
14,5,75,462
15,0,0,470
15,1,44,535
15,2,49,542
15,3,72,621
15,4,144,677
15,5,262,812
16,0,0,457
16,1,11,529
16,2,18,484
16,3,55,537
16,4,72,523
16,5,87,532
17,0,0,427
17,1,39,445
17,2,54,475
17,3,55,518
17,4,69,475
17,5,96,518
18,0,0,521
18,1,21,575
18,2,33,624
18,3,42,587
18,4,50,587
18,5,69,806
19,0,0,563
19,1,6,573
19,2,37,651
19,3,45,774
19,4,52,642
19,5,65,658
20,0,0,533
20,1,7,526
20,2,17,664
20,3,45,576
20,4,65,574
20,5,77,601
21,0,0,408
21,1,8,408
21,2,16,417
21,3,44,459
21,4,80,472
21,5,82,488
22,0,0,388
22,1,7,380
22,2,17,408
22,3,45,433
22,4,63,436
22,5,76,450
23,0,0,404
23,1,9,432
23,2,28,473
23,3,38,464
23,4,50,455
23,5,52,541
24,0,0,393
24,1,11,417
24,2,17,428
24,3,51,455
24,4,64,455
24,5,81,471
25,0,0,416
25,1,11,400
